OBJECTID,HL_DATE,HL_TYPE,SHAPEAREA,SHAPELEN
863,2000/03/31 00:00:00+00,1,5858.21461875,302.735454047431
864,2000/03/31 00:00:00+00,1,1899.692253125,172.519226815742
865,2000/03/31 00:00:00+00,1,4694.45673125,442.22535943765
866,2000/03/31 00:00:00+00,1,27172.3280304688,631.88123896163
867,2000/03/31 00:00:00+00,1,38565.893940625,1850.49105849823
868,2000/03/31 00:00:00+00,1,8379.87015,671.973740984314
869,2000/03/31 00:00:00+00,1,2734.42443828125,203.587095376451
870,2022/04/05 00:00:00+00,1,49874.5345445313,898.344088775013
871,2000/03/31 00:00:00+00,1,11039.3908625,402.247680168327
872,2000/03/31 00:00:00+00,1,2001.46505,168.260423306474
873,2022/04/05 00:00:00+00,1,18230.6498070313,1084.91755866575
874,2000/03/31 00:00:00+00,1,2002.77638359375,214.962740487702
875,2000/03/31 00:00:00+00,1,102143.637040625,2017.73025967281
876,2000/03/31 00:00:00+00,1,7785.76126953125,374.670899108342
877,2000/03/31 00:00:00+00,1,13183.87335,441.799133990266
878,2022/04/05 00:00:00+00,1,2281.33011953125,181.967845057129
879,2000/03/31 00:00:00+00,4,3582.13524375,216.020028548366
880,2009/04/04 00:00:00+00,1,5961.238190625,338.629896254525
881,2009/04/04 00:00:00+00,1,20636.0817921875,558.90302008522
882,2009/04/04 00:00:00+00,1,35988.8390453125,757.651300859085
883,2009/04/04 00:00:00+00,1,13971.59774375,438.527890056103
884,2009/04/04 00:00:00+00,1,2043.48690546875,169.552608809445
885,2009/04/04 00:00:00+00,1,5813.09530234375,326.295572167435
886,2009/04/04 00:00:00+00,1,5390.6578125,359.496778532535
887,2009/04/04 00:00:00+00,1,2062.37130625,281.679919859265
888,2009/04/04 00:00:00+00,6,2363.09695703125,177.976285333342
889,2017/07/14 00:00:00+00,1,1030.90577890625,131.168716718469
890,2017/07/14 00:00:00+00,1,1307.16233125,173.588708903608
891,2017/07/14 00:00:00+00,1,2591.537278125,233.311240329487
892,2017/07/14 00:00:00+00,1,2680.94468515625,195.042714705504
893,2017/07/14 00:00:00+00,1,2285.31413515625,205.693722784855
894,2017/07/14 00:00:00+00,1,1706.2598625,158.931508597682
895,2017/07/14 00:00:00+00,1,1072.32914453125,131.48438289117
896,2017/07/14 00:00:00+00,1,3060.37223046875,257.821470740737
897,2017/07/14 00:00:00+00,1,155.9913953125,46.6924859476091
898,2022/04/05 00:00:00+00,3,10856.701228125,3290.56626320388
899,2022/04/05 00:00:00+00,1,24981.0051195313,631.930883434503
900,2022/04/05 00:00:00+00,1,44229.06599375,957.096358352798
901,2019/10/16 00:00:00+00,1,5359.09627421875,287.611351343481
902,2019/10/16 00:00:00+00,1,4051.12753828125,244.552684133868
903,2019/10/16 00:00:00+00,1,5298.54303359375,313.174518185191
904,2019/10/16 00:00:00+00,1,31939.6471835937,809.189756111425
905,2019/10/16 00:00:00+00,1,43557.7299023438,913.382347419478
906,2019/10/16 00:00:00+00,1,15614.7295078125,501.104270696653
907,2019/10/16 00:00:00+00,1,42494.5399914063,846.858742694961
908,2019/10/16 00:00:00+00,1,7896.02354453125,357.813645482797
909,2022/04/05 00:00:00+00,1,38228.5158695313,803.098223597541
910,2019/10/16 00:00:00+00,1,8723.54635625,363.614300477251
911,2019/10/16 00:00:00+00,1,7168.49591015625,364.902431563107
912,2019/10/16 00:00:00+00,1,66496.8764695313,1328.88898930826
913,2019/10/16 00:00:00+00,1,948.16700078125,126.577677054542
914,2022/04/05 00:00:00+00,1,6607.13833671875,295.404730786996
915,2019/10/16 00:00:00+00,1,18424.3475289063,617.393599311858
916,2019/10/16 00:00:00+00,1,9287.824490625,374.822289494115
917,2019/10/16 00:00:00+00,1,2910.27920703125,199.758709425661
