word,quantity,frequency
Cath,3,0.0
Morris,12,0.0001
burn,3,0.0
middle,3,0.0
pee,18,0.0001
market,24,0.0002
blanket,12,0.0001
wellies,6,0.0
welly,3,0.0
brolly,3,0.0
scarf,6,0.0
chuck,6,0.0
pond,21,0.0002
wiggle,3,0.0
Sqounky,3,0.0
baba,189,0.0016
by,3,0.0
Dada,24,0.0002
ssh,21,0.0002
e,3,0.0
click,12,0.0001
Mo,6,0.0
oink,12,0.0001
oy,3,0.0
count,18,0.0001
Warren,426,0.0035
front,3,0.0
bash,144,0.0012
dot,6,0.0
Annie,6,0.0
trailer,114,0.0009
lick,15,0.0001
plum,6,0.0
hotdog,3,0.0
oblong,3,0.0
cheat,3,0.0
airport,15,0.0001
plan,3,0.0
kid,3,0.0
Mike,9,0.0001
cave,3,0.0
clop,3,0.0
spin,6,0.0
pass,3,0.0
farmyard,3,0.0
dream,3,0.0
snap,9,0.0001
police,18,0.0001
motor,3,0.0
lift,6,0.0
scoop,6,0.0
thin,3,0.0
circle,6,0.0
square,6,0.0
rectangle,3,0.0
triangle,3,0.0
plastic,3,0.0
hospital,3,0.0
past,12,0.0001
halo,3,0.0
creature,3,0.0
ramp,15,0.0001
arch,3,0.0
Rex,3,0.0
rip,6,0.0
cloud,6,0.0
steam,9,0.0001
brew,3,0.0
brewery,3,0.0
hundred,3,0.0
wobble,30,0.0002
wibble,6,0.0
flavor,3,0.0
aubergine,9,0.0001
cheesy,6,0.0
cock,9,0.0001
cheep,6,0.0
puppy,3,0.0
hay,6,0.0
bail,6,0.0
