OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,SHAPE_Length,SHAPE_Area
13796,VA059,3,105B,2250556,13727.0849614669,-1951427.91064464
13797,VA059,3,39B,2250348,1938.1327972566,-148514.345115904
13798,VA059,3,105D,2250558,1760.19495600866,-155687.44951323
13799,VA059,3,105B,2250556,12508.0886751829,-1761771.75333853
13800,VA059,3,105C,2250557,2334.3145809419,-159983.878873076
13801,VA059,3,78B,2250491,1910.65299192595,-105748.345460243
13802,VA059,3,39B,2250348,8580.4325320619,-2026365.48090867
13803,VA059,3,39D,2250350,3035.50576685729,-297729.385548401
13804,VA059,3,25B,2250306,745.378209254619,-23431.0893489488
13805,VA059,3,39E,2250351,8774.42687268966,-1438873.2000643
13806,VA059,3,21A,2250291,1394.53855881742,-93369.7066874622
13807,VA059,3,105D,2250558,1524.37877931036,-109807.066500333
13808,VA059,3,39C,2250349,5173.2222785612,-589291.843454579
13809,VA059,3,39C,2250349,12671.7562000651,-952407.224849463
13810,VA059,3,W,2250944,549.077641880662,-17852.7489799122
13811,VA059,3,97,2250542,1477.23500491933,-143731.518348888
13812,VA059,3,93B,2250537,1578.96999826333,-81026.5930283842
13813,VA059,3,39E,2250351,6901.0711919596,-571261.117238837
13814,VA059,3,39B,2250348,3602.02667461703,-282077.245705245
13815,VA059,3,22B,2250297,1664.01546428553,-132564.811855688
13816,VA059,3,39E,2250351,1713.32805741311,-98984.4658679763
13817,VA059,3,39C,2250349,8837.66731671522,-981067.452752337
13818,VA059,3,25C,2250307,2532.06113209229,-265390.806953341
13819,VA059,3,78B,2250491,1574.47381240377,-73287.8547714146
13820,VA059,3,105D,2250558,4385.14273698482,-443409.517400285
13821,VA059,3,78B,2250491,1771.86816735307,-77167.0224037608
13822,VA059,3,105D,2250558,1938.90448248668,-80854.6392601819
13823,VA059,3,39C,2250349,1305.63442087444,-54578.5805306708
13824,VA059,3,39E,2250351,7122.54881285616,-642255.136093758
13825,VA059,3,105C,2250557,3487.87033121552,-185527.816812497
13826,VA059,3,93B,2250537,5666.42303737865,-383072.462330147
13827,VA059,3,78B,2250491,1694.07396470048,-68489.6748081672
13828,VA059,3,39D,2250350,2097.1012925507,-103652.637629165
13829,VA059,3,39C,2250349,1276.7316614764,-91529.2209915473
13830,VA059,3,85C,2250510,3667.6100492658,-299462.565295847
13831,VA059,3,105B,2250556,1605.62309122839,-136294.002130783
13832,VA059,3,107B,2250560,3427.23432947651,-183923.091317874
13833,VA059,3,85B,2250509,664.216791495423,-17713.4255467514
13834,VA059,3,105C,2250557,2113.87566313288,-204649.241626137
13835,VA059,3,39E,2250351,3510.15707825979,-147829.006005809
13836,VA059,3,21A,2250291,1356.53509200378,-114416.727611825
13837,VA059,3,105B,2250556,108578.653356165,19993518.0725938
13838,VA059,3,39D,2250350,1927.38517758472,-159168.328233878
13839,VA059,3,22B,2250297,1170.79173327858,-70581.3665233988
13840,VA059,3,21A,2250291,1896.97486145984,-240135.897183708
13841,VA059,3,80D,2250499,2750.59658838014,-185036.027697697
13842,VA059,3,39D,2250350,12682.0790800336,-1065075.06890053
13843,VA059,3,85C,2250510,726.557816595553,-7746.88220292642
13844,VA059,3,39B,2250348,1599.86717769522,-99331.5557057508
13845,VA059,3,39C,2250349,13324.0226367334,-1398289.08923818
13846,VA059,3,12,2250268,4486.89002484564,-527769.48120461
13847,VA059,3,105C,2250557,3976.06408697738,-177076.461843016
13848,VA059,3,105B,2250556,35205.519135081,-4817485.56935337
13849,VA059,3,85C,2250510,1485.46935672435,-77826.6669645531
13850,VA059,3,39B,2250348,1736.37813959435,-83521.6372305396
13851,VA059,3,105C,2250557,3787.25269543693,-352806.976790352
13852,VA059,3,39B,2250348,5965.01092507943,-806752.385374271
13853,VA059,3,39E,2250351,6838.57613923094,-960262.666775085
13854,VA059,3,85B,2250509,1299.51853297715,-59672.5427622834
13855,VA059,3,105C,2250557,2913.07212200595,-193418.93336152
13856,VA059,3,85C,2250510,1551.36960374129,-55859.1358654779
13857,VA059,3,105C,2250557,2595.60685634678,-205459.723014455
13858,VA059,3,25C,2250307,1506.21215621754,-66966.950046811
13859,VA059,3,105C,2250557,2099.33982570115,-188489.603992841
13860,VA059,3,89A,2250522,29871.1121778867,-4457512.54800733
13861,VA059,3,39B,2250348,4544.38728923018,-312283.216807824
13862,VA059,3,105D,2250558,2752.98181860564,-192947.981596832
13863,VA059,3,81C,2250502,3427.95331462931,-307252.358757589
13864,VA059,3,39B,2250348,2395.87393345787,-140315.128390148
13865,VA059,3,97,2250542,3709.8919409825,-590679.947425694
13866,VA059,3,39C,2250349,7283.51710308546,-521482.856482709
13867,VA059,3,81C,2250502,1140.07627389792,-49222.6004259205
13868,VA059,3,78B,2250491,3245.71503861351,-204593.973945871
13869,VA059,3,22B,2250297,1821.14322215674,-139647.496119946
13870,VA059,3,93B,2250537,2124.67507826934,-188124.729578919
13871,VA059,3,105C,2250557,2007.83323937041,-189067.063957536
13872,VA059,3,85C,2250510,2757.05896842586,-214095.640969822
13873,VA059,3,39B,2250348,5347.75751041426,-501994.775337731
13874,VA059,3,25C,2250307,2729.38235918257,-173338.466866827
13875,VA059,3,78B,2250491,5721.76091159597,-376309.072297509
13876,VA059,3,89A,2250522,1500.00477232825,-73993.7261342233
13877,VA059,3,105B,2250556,8769.34816387479,-720353.443116311
13878,VA059,3,78B,2250491,2557.95329743424,-170264.540857042
13879,VA059,3,39C,2250349,21428.2804885618,-2751253.49375281
13880,VA059,3,25B,2250306,7193.58428075867,-1038542.71837203
13881,VA059,3,39C,2250349,3176.72059435807,-167564.326066715
13882,VA059,3,105C,2250557,3154.71160763354,-258840.219087856
13883,VA059,3,101,2250546,9736.94161828911,-1357679.03547611
13884,VA059,3,80D,2250499,7256.11362793774,-636796.939045935
13885,VA059,3,93B,2250537,1820.89421059505,-157001.713666565
