business_id,date,score,description,type,ObjectId
33228,20210519,98,,ROUTINE,244
33228,20211027,99,,ROUTINE,245
33228,20220513,99,,ROUTINE,246
33244,20220811,100,,ROUTINE,247
32802,20190429,97,,ROUTINE,248
32140,20230227,96,,ROUTINE,249
33099,20200914,99,,ROUTINE,250
33054,20221122,94,,ROUTINE,251
32733,20200219,97,,ROUTINE,252
32553,20230509,100,,ROUTINE,253
32140,20181205,95,,ROUTINE,254
33099,20210716,99,,ROUTINE,255
33054,20230420,96,,ROUTINE,256
32733,20210222,93,,ROUTINE,257
32553,20180926,0,,FOLLOWUP,258
32140,20190415,93,,ROUTINE,259
33099,20220127,98,,ROUTINE,260
33054,20181029,94,,ROUTINE,261
32733,20210222,0,,COMPLAINT,262
32553,20181220,90,,ROUTINE,263
32140,20200131,97,,ROUTINE,264
33114,20220613,96,,ROUTINE,265
33054,20190507,94,,ROUTINE,266
32733,20210226,0,,FOLLOWUP,267
32553,20181121,0,,COMPLAINT,268
32140,20190812,95,,ROUTINE,269
33114,20221212,97,,ROUTINE,270
33054,20191017,94,,ROUTINE,271
32733,20210226,98,,FOLLOWUP,272
32553,20190211,0,,COMPLAINT,273
32140,20201006,98,,ROUTINE,274
33114,20230605,98,,ROUTINE,275
33054,20200603,97,,ROUTINE,276
32733,20220304,93,,ROUTINE,277
32553,20190621,94,,ROUTINE,278
32140,20210505,97,,ROUTINE,279
33114,20180927,100,,ROUTINE,280
33054,20201027,97,,ROUTINE,281
32765,20230322,98,,ROUTINE,282
32553,20191220,91,,ROUTINE,283
32140,20211103,96,,ROUTINE,284
33114,20190408,99,,ROUTINE,285
33054,20210513,97,,ROUTINE,286
32765,20180919,98,,ROUTINE,287
32553,20200909,92,,ROUTINE,288
32358,20230322,96,,ROUTINE,289
