OBJECTID,DBARC_COD,DIVIDE,AV_LEGEND,IMS_LEGEND,LENGTH_MI,SHAPE_Length
18279,4,Local drainage basin divide,Local,Local,1.27236998,6718.13832336903
18280,4,Local drainage basin divide,Local,Local,1.06613004,5629.14961216845
18281,5,Stream reach basin divide,Stream Reach,Reach,0.62295299,3289.19089612427
18282,4,Local drainage basin divide,Local,Local,2.12859988,11239.0027029153
18283,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.31707,6954.15207749415
18284,4,Local drainage basin divide,Local,Local,0.84295797,4450.81978578661
18285,4,Local drainage basin divide,Local,Local,0.63495898,3352.58487068835
18286,4,Local drainage basin divide,Local,Local,0.35643601,1881.98218315659
18287,4,Local drainage basin divide,Local,Local,1.45510995,7682.97577260649
18288,4,Local drainage basin divide,Local,Local,0.87030398,4595.20400343884
18289,3,Subregional drainage basin divide,Subregional,Subregional,0.84620201,4467.94874307009
18290,4,Local drainage basin divide,Local,Local,1.05376005,5563.86538055522
18291,5,Stream reach basin divide,Stream Reach,Reach,0.83934497,4431.74160300855
18292,5,Stream reach basin divide,Stream Reach,Reach,0.84567099,4465.13949031151
18293,4,Local drainage basin divide,Local,Local,0.26074299,1376.72528915397
18294,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.03351998,5456.96328423351
18295,4,Local drainage basin divide,Local,Local,1.41214001,7456.11181588016
18296,3,Subregional drainage basin divide,Subregional,Subregional,0.309908,1636.31537125276
18297,4,Local drainage basin divide,Local,Local,0.0935344,493.860333759867
18298,4,Local drainage basin divide,Local,Local,0.63573998,3356.70372220599
18299,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.28929996,6807.48401060507
18300,3,Subregional drainage basin divide,Subregional,Subregional,1.24081003,6551.48282247918
18301,4,Local drainage basin divide,Local,Local,0.13696299,723.166979985413
18302,5,Stream reach basin divide,Stream Reach,Reach,0.14052399,741.964933024876
18303,4,Local drainage basin divide,Local,Local,0.39435699,2082.20346998977
18304,4,Local drainage basin divide,Local,Local,0.59781801,3156.47825848905
18305,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.83299899,4398.23657981416
18306,5,Stream reach basin divide,Stream Reach,Reach,0.66132497,3491.79441636173
18307,5,Stream reach basin divide,Stream Reach,Reach,0.56798702,2998.97149738595
18308,5,Stream reach basin divide,Stream Reach,Reach,0.33053201,1745.20882358927
18309,4,Local drainage basin divide,Local,Local,0.71648299,3783.02760171825
18310,4,Local drainage basin divide,Local,Local,0.19286599,1018.33210010963
18311,4,Local drainage basin divide,Local,Local,1.13901996,6014.04019146698
18312,4,Local drainage basin divide,Local,Local,0.33868598,1788.26231966367
18313,4,Local drainage basin divide,Local,Local,0.855874,4519.01068290662
18314,3,Subregional drainage basin divide,Subregional,Subregional,0.97144097,5129.20886127664
18315,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.846798,4471.09275043927
18316,4,Local drainage basin divide,Local,Local,1.23704004,6531.557402586
18317,2,Regional drainage basin divide,Regional,Regional,1.36966001,7231.78820654099
18318,4,Local drainage basin divide,Local,Local,0.54636502,2884.80796524559
18319,5,Stream reach basin divide,Stream Reach,Reach,1.35629999,7161.27962053056
18320,4,Local drainage basin divide,Local,Local,1.55501997,8210.48896017774
18321,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.39229699,2071.32819818531
