OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,Shape_Length,Shape_Area
166,O121,44,3,33,C,4,3, , ,0,14163.0302137247,7998659.42080212
167,D116,31,3,20,A,7,11,D142p, ,0,19970.9084560362,12838553.0628231
168,V105,36,4,20,B,7,20,B165, ,0,134006.352079632,457126463.795159
169,K117,40,3,37,B,5,15,I107p, ,0,14010.8611008544,7576973.39213139
170,K142,40,3,35,B,5,15,I127,NV,0,10501.6484301325,4010895.23503418
171,C136,30,3,19,B,2,11, , ,0,8802.80723814812,3586939.10116334
172,K116,40,3,35,B,5,15, , ,0,7745.16874866066,2270436.76560567
173,C103,30,3,35,B,2,10, , ,0,25472.0261202794,22947253.2538098
174,O112,44,3,37,C,4,1,O140p, ,0,45113.338844456,81469472.6579335
175,C137,30,3,19,B,2,10, , ,0,20120.631148979,11129265.4437669
176,D113,31,3,35,B,7,26, , ,0,13554.8669885902,6100021.62769494
177,H121,35,3,19,B,6,10, , ,0,13404.1386034784,8413490.82930631
178,J130,38,3,35,B,5,15, , ,0,8761.96005792275,2740405.2024851
179,C102,30,3,35,B,2,10, , ,0,8905.32172027071,4187241.65414879
180,C135,30,3,35,B,2,26, , ,0,11046.7229259321,5260837.12374326
181,K130,40,3,33,C,4,3, , ,0,7995.68435143089,3535385.49809108
182,O119,44,3,33,C,4,3, , ,0,12182.8084977169,9012834.97389679
183,V112,36,3,20,B,7,20,F111,SM,0,21348.6053959634,25212881.7561434
184,H120,35,3,19,B,6,10, , ,0,21817.1250302531,17917791.5739748
185,V107,36,4,20,B,7,20,B174, ,0,73112.9153419207,235150815.582505
186,H114,35,3,19,B,6,21, ,SM,0,27177.9255852331,26676591.5416909
187,C138,30,3,19,A,2,26, , ,0,9883.00725535356,3978746.37743754
188,D132,31,3,19,A,2,11, , ,0,19382.9635753412,12825284.6879682
189,O117,44,3,33,C,4,3, , ,0,13553.8349829313,7900527.52856462
190,D120,31,3,20,A,7,11, , ,0,23237.1270459469,17640968.6980012
191,K140,40,3,35,B,5,15,I103, ,0,15403.3294253062,5247435.48365624
192,K125,40,3,35,C,5,3, , ,0,16472.6390319399,6649670.75416111
193,H115,35,3,19,B,6,21, , ,0,7970.29508221338,2914847.52028585
194,C126,30,3,35,B,2,10, , ,0,14205.1814098838,6603598.07515334
195,D114,31,3,19,A,2,11, , ,0,11883.0190045962,6542743.78418546
196,O105,44,3,33,C,4,1, , ,0,29831.3157273986,24891339.4746503
197,H117,35,3,19,B,6,10, , ,0,13873.7275943137,9205220.79717676
198,D139,31,3,19,A,2,11, , ,0,16880.7679181257,9655821.84212769
199,H118,35,3,19,B,6,10, , ,0,13931.5772162913,6972536.97881458
200,C129,30,3,19,A,2,26,G155p, ,0,19263.1221818696,13292647.2339494
201,H113,35,3,19,B,2,10, , ,0,15804.2538766819,8760461.88165657
202,K111,40,3,35,B,5,6, , ,0,8188.43263252302,3310631.19883742
203,K149,40,3,35,B,6,21,I139,SM,0,23567.1650931461,16615820.2454108
204,K114,40,3,35,B,5,6, , ,0,12244.1872307859,6754498.05314484
205,K134,40,3,19,B,6,15, , ,0,11402.8388318023,5019523.78133213
206,D117,31,3,19,A,2,11, , ,0,13883.0967253975,9553911.22344928
207,H116,35,3,19,B,6,10, , ,0,12193.0582477472,5538866.98846798
208,C122,30,3,19,A,2,26, , ,0,10449.7120167415,5367303.49280239
209,E166,32,3,20,A,7,11, , ,0,11751.1651365897,4905357.1602375
210,G121,34,3,19,B,2,8, , ,0,14285.698529621,7969159.50223069
211,K123,40,3,33,C,4,3, , ,0,24120.2573396576,20550719.2374595
212,M173,42,3,33,C,4,3,O116, ,0,14313.5962535035,11216937.2312155
213,D131,31,3,19,A,2,26, , ,0,10775.5413843629,4816342.8695404
214,G119,34,3,19,B,2,8, , ,0,9866.09990653797,4149865.33706083
215,D115,31,3,19,A,2,11, , ,0,22934.5715767107,22073209.6480808
216,G122,34,3,19,B,2,8, , ,0,9775.66016346862,3458432.38893885
217,G129,34,3,19,A,2,26, , ,0,11100.5955809194,3638008.84744874
218,V115,36,3,20,A,7,11,F149, ,0,25099.5728226838,27307783.4254104
219,K135,40,3,35,B,1,15,K112p,SM,0,14160.2537501126,8461104.48802225
220,G154,34,3,19,A,2,26,D130p/G165p, ,0,14119.8098227372,5906900.37981205
221,D130,31,3,19,A,2,26, , ,0,15172.9418967232,5851784.83847081
222,G123,34,3,19,B,2,8, , ,0,5805.99970954492,1576051.07677811
223,K113,40,3,35,B,1,6, , ,0,7075.33535155286,2251461.112429
224,D109,31,3,19,A,2,11, , ,0,12918.948779619,5260200.75708212
225,K122,40,3,35,C,1,3, , ,0,27304.785746795,25162748.0048437
226,G151,34,3,19,A,2,8, , ,0,10925.3889399797,3989901.23928677
227,H111,35,3,19,B,6,10, , ,0,17985.6059400931,10958241.1483148
228,K129,40,3,19,B,6,15, , ,0,9230.39321496944,4456506.89375155
229,G147,34,3,19,A,2,8, , ,0,11538.2802269241,4922544.23190381
230,M171,42,3,33,C,1,3,K121, ,0,27719.0509248206,17729529.7470498
231,H110,35,3,19,B,6,10, , ,0,13935.6764031341,7724763.85548036
232,G117,34,3,19,B,2,8, , ,0,16264.7140608794,11040821.0253615
233,G120,34,3,19,B,2,8, , ,0,9875.95323829896,4766016.12206335
234,K110,40,3,35,C,1,6, , ,0,13757.5715888876,9075847.73283071
235,E159,32,3,36,A,2,18, , ,0,13637.842781538,6542854.55138518
236,M145,42,3,19,C,6,10, ,SM,0,1949.88776546729,217203.799798943
237,M148,42,3,33,C,1,3, , ,0,10406.4426134235,4007582.48501268
238,D129,31,3,19,A,2,26,D101p, ,0,16987.9844080718,7628914.29992737
239,N112,43,3,33,C,1,5, , ,0,7816.72268984419,3257023.84131004
240,L146,41,3,26,A,2,9, , ,0,11671.04842629,4787808.06922369
241,G163,34,3,36,A,2,9, , ,0,13026.2584825599,5172059.4356862
242,N111,43,3,33,C,1,1, , ,0,7776.00516825688,2931673.02410543
243,L138,41,3,26,A,2,9, , ,0,21816.4823605846,6130993.24875158
244,L145,41,3,33,C,1,6, , ,0,10940.1882950134,6724420.50216708
245,N110,43,3,33,C,1,5, , ,0,11893.8214042055,6735410.34439664
246,G150,34,3,26,A,2,9,G142p/G162p, ,0,15274.6034122049,7161613.29498391
247,F163,33,3,36,A,3,19, , ,0,15513.0601378664,8298348.20470959
248,L136,41,3,26,A,2,9, , ,0,13280.3468220702,5617656.692655
249,V110,36,4,36,A,7,19,F109, ,0,32162.1869922251,44044560.4599846
250,G141,34,3,26,A,2,9,L139p, ,0,14545.3812098123,6183212.39972513
251,E160,32,3,36,A,3,18, , ,0,14034.0693241471,9147945.40337893
252,H106,35,3,19,B,6,10, , ,0,10495.5463091785,4599695.08896951
253,H105,35,3,19,B,6,10, , ,0,12154.2703694567,4027416.33393091
254,M170,42,3,35,C,1,3,K108, ,0,14399.2740715608,8012568.27532315
255,G116,34,3,19,B,2,8, , ,0,9836.00449955776,4627040.54263938
256,D106,31,3,19,A,2,26, , ,0,16815.1793411953,8456920.07889517
257,K105,40,3,35,C,1,6, , ,0,18704.1555575989,14876456.3291172
258,V119,36,3,20,A,7,20,F162, ,0,56180.1226377389,100501590.235815
259,E158,32,3,19,A,2,18, , ,0,11706.4645834639,5958411.57189158
