OBJECTID,COMMENT,STEWARD1,STEWARD2,GlobalID,Shape_Length,Shape_Area
188,,BLM Cadastral - NV,,{95ED5280-1503-48B2-B673-C7478CC22BCF},1135.16307952848,80190.7652994735
189,,BLM Cadastral - NV,,{662A4EE9-E258-4034-BA6D-AC0914015C1C},1609.06152922689,161810.881752874
190,,BLM Cadastral - NV,,{6EE2D180-229B-4E28-8001-290806F7FA70},1609.45276951305,161892.654490001
191,,BLM Cadastral - NV,,{106259C5-ED4B-4C55-B97F-E457ADA6C1F7},1391.27369374643,118019.5438202
192,,BLM Cadastral - NV,,{2A3971C0-6E38-4ACE-A08F-39DE045099DF},3234.96985588173,654027.140718736
193,,BLM Cadastral - NV,,{8F4D48CB-6E03-4AA9-AEC8-C0D7E66B2D09},6600.12571120828,2114908.71362305
194,,BLM Cadastral - NV,,{EDA0D3C1-ACA4-483E-A1EB-C341D01D3CCC},6419.48888891024,1926039.06397661
195,,BLM Cadastral - NV,,{B9939962-C5F5-4A51-B595-7D18D0194DB9},4023.7901472812,645127.044928817
196,,BLM Cadastral - NV,,{1FB7FF5A-38E2-4F30-B3DB-60ED110F3563},6505.6963966193,2323298.41431849
197,,BLM Cadastral - NV,,{38FFA24B-3023-485F-9AB6-061FAE1403FF},2395.0736653323,320202.508369216
198,,BLM Cadastral - NV,,{867DCDC2-7EC7-4E40-BAC7-CCBB1FA6D980},5648.43519729863,1951194.44302079
199,,BLM Cadastral - NV,,{7BB49D94-A3A5-4EBE-9DB5-83840DA7DDF7},4863.7161369538,1315189.40930058
200,,BLM Cadastral - NV,,{F95DB377-694F-4AA6-8A1F-2C448E40627B},4846.54247412131,1305042.59511837
201,,BLM Cadastral - NV,,{771409DE-031C-4D73-B887-D16D7B52B7B9},3222.70667153321,649012.14562129
202,Known Survey Issue,BLM Cadastral - NV,,{2C886814-3952-4C7C-92A9-79D28782E30D},1625.74506589774,165176.633967151
203,Known Survey Issue,BLM Cadastral - NV,,{2842F8DD-DB7A-45D7-B006-2F365C107F61},1645.28320874517,168973.542836839
204,Known Survey Issue,BLM Cadastral - NV,,{4D8BEDA6-EECA-43EB-9908-2DE3D3BE891A},1622.49449400581,164521.436466769
205,Known Survey Issue,BLM Cadastral - NV,,{A6B843F0-ACB3-4B1B-839C-66C274AD9FDE},1644.35056634435,168941.57658265
206,Known Survey Issue,BLM Cadastral - NV,,{F6C682E0-915C-46F6-939E-FB93153AAC19},1645.62600479213,169229.477824937
207,Known Survey Issue,BLM Cadastral - NV,,{3355EE10-8A85-4AD4-8775-8336A369B325},1645.65002191838,169243.487575394
208,Known Survey Issue,BLM Cadastral - NV,,{FC9B9482-FCC0-41DF-B2EB-38781B1461AF},1645.6701833068,169253.803675092
209,Known Survey Issue,BLM Cadastral - NV,,{FC7CB9AF-AA23-4259-86EE-5EE2ACCA3D82},1645.47889029934,168300.985957912
210,Known Survey Issue,BLM Cadastral - NV,,{0969EE98-142D-472D-887C-4788CC5BF9DA},1640.29543618313,168140.645267565
211,Known Survey Issue,BLM Cadastral - NV,,{E0C72DE2-7AF2-4421-8C03-C17ED2FAC2BC},1597.11728950404,158324.915567046
212,Known Survey Issue,BLM Cadastral - NV,,{3C617589-EBC1-474A-B7FC-F50495B3D2AF},1601.67603610531,159971.166678564
213,Known Survey Issue,BLM Cadastral - NV,,{0CD9823B-D4D0-4CD2-851C-E9287D07F7AB},1630.50791879116,166154.955271943
214,Known Survey Issue,BLM Cadastral - NV,,{7E42048E-FD3D-412A-8DC6-5CAF5AF6F9DC},1635.41383821542,167150.85216562
215,Known Survey Issue,BLM Cadastral - NV,,{AAD33D35-410E-4272-8420-248B32399D40},1660.97284930548,171920.378921916
216,Known Survey Issue,BLM Cadastral - NV,,{C6B71898-F917-46BE-97F2-88841DA13704},1644.30552315979,168918.84902928
217,Known Survey Issue,BLM Cadastral - NV,,{1A3BD289-D9F1-4CC2-8DB4-32331EF6F89D},1642.07596292234,168434.74305324
218,Known Survey Issue,BLM Cadastral - NV,,{915DD8C1-B4AC-4160-8C69-060F95BF1D4B},1634.52747087134,166938.828512708
219,Known Survey Issue,BLM Cadastral - NV,,{1159AEE6-8EDD-4274-9432-E99C27184AD3},1658.29099130268,169754.663904124
220,Known Survey Issue,BLM Cadastral - NV,,{56A27B27-FAE3-4E4F-8C66-EE9D4B3B3C4E},1633.30838487819,166666.760607604
221,Known Survey Issue,BLM Cadastral - NV,,{C2524495-3144-4D3B-9A80-5F1EB4FE93B7},1630.34781718097,166119.156571286
