OBJECTID,GEOID10,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
63,261635530001,39.0,23.0,9.0,14.0,16.0,7.0,16.0,23.0,,0,0,0,0.391304347826087,0.4375,,0.0,6829587.8515625,12366.2599864947
64,261635528001,,,,,,,,,,0,0,0,,,,,8724409.00439453,13554.0551616602
65,261635528004,34.0,18.0,6.0,12.0,16.0,6.0,12.0,22.0,,0,0,0,0.333333333333333,0.375,,0.0,1659250.98046875,5903.21826450214
66,261635528003,18.0,10.0,,7.0,8.0,,6.0,12.0,,0,0,0,,,,0.0,2735881.00537109,7446.89692909347
67,261635528002,24.0,12.0,,8.0,12.0,,8.0,16.0,,0,0,0,,,,0.0,3696469.42700195,8988.68476893165
68,261635528005,44.0,22.0,6.0,16.0,22.0,9.0,15.0,29.0,11.0,0,0,0,0.272727272727273,0.409090909090909,0.25,0.0,2965126.45385742,7077.25975141117
69,261635524001,53.0,29.0,11.0,18.0,24.0,11.0,22.0,31.0,12.0,0,0,0,0.379310344827586,0.458333333333333,0.226415094339623,0.0,6164652.05224609,12755.9403982617
70,261635523003,38.0,20.0,7.0,13.0,18.0,8.0,15.0,23.0,,0,0,0,0.35,0.444444444444444,,0.0,1897136.85351563,5583.13005647527
71,261635523002,38.0,22.0,7.0,15.0,16.0,7.0,14.0,24.0,6.0,0,0,0,0.318181818181818,0.4375,0.157894736842105,0.0,1678841.31396484,5364.36911623625
72,261635523001,35.0,21.0,7.0,14.0,14.0,6.0,13.0,22.0,,0,0,0,0.333333333333333,0.428571428571429,,0.0,1766009.54589844,5958.07508611118
73,261635522002,40.0,23.0,8.0,15.0,17.0,7.0,15.0,25.0,11.0,0,0,0,0.347826086956522,0.411764705882353,0.275,0.0,1975016.57080078,5781.94885692472
74,261635522001,67.0,37.0,13.0,24.0,30.0,13.0,26.0,41.0,10.0,0,0,0,0.351351351351351,0.433333333333333,0.149253731343284,0.0,2619701.89697266,6576.64661778217
75,261635577001,15.0,7.0,,,8.0,,,10.0,,0,0,0,,,,0.0,5784364.12915039,10334.2554536261
76,261635844002,36.0,18.0,6.0,12.0,18.0,8.0,14.0,22.0,,0,0,0,0.333333333333333,0.444444444444444,,0.0,27532760.4140625,21039.0884604237
77,261635831005,33.0,16.0,6.0,10.0,17.0,6.0,12.0,21.0,,0,0,0,0.375,0.352941176470588,,0.0,7314987.33105469,15162.826468355
78,261635807003,21.0,9.0,,6.0,12.0,6.0,9.0,12.0,,0,0,0,,0.5,,0.0,7286930.00317383,12927.0020580891
79,261635806003,51.0,25.0,9.0,16.0,26.0,11.0,20.0,31.0,,0,0,0,0.36,0.423076923076923,,0.0,4863269.45727539,10579.1307642184
80,261635772003,34.0,16.0,7.0,9.0,18.0,8.0,15.0,19.0,,0,0,0,0.4375,0.444444444444444,,0.0,10492064.6762695,20186.6370173438
81,261635773001,50.0,29.0,12.0,17.0,21.0,9.0,21.0,29.0,,0,0,0,0.413793103448276,0.428571428571429,,0.0,7434723.57226563,15666.7025385853
82,261635774004,20.0,11.0,,7.0,9.0,,8.0,12.0,,0,0,0,,,,0.0,4653805.47583008,10742.0554166692
83,261635544004,59.0,28.0,11.0,17.0,31.0,14.0,25.0,34.0,6.0,0,0,0,0.392857142857143,0.451612903225806,0.101694915254237,0.0,3389656.28369141,7811.13850800783
84,261635549002,26.0,12.0,,8.0,14.0,6.0,10.0,16.0,,0,0,0,,0.428571428571429,,0.0,8545569.16918945,16042.5410821006
85,261635881001,38.0,19.0,6.0,13.0,19.0,8.0,14.0,24.0,,0,0,0,0.315789473684211,0.421052631578947,,0.0,167628188.560059,53573.2301544687
