Reference_Id,Account,Agency_Application,Relief_Program,Application_Date,Relief_Amount,Household_Income,Household_Size,Financial_Hardship,Job_Loss,Reduced_Hours,Account_Type,Zip,Country,State,Location,Council_District,ObjectId
WYVV-3Q3P-4V6K,7643310084.0,False,MCR,2021/08/26 00:00:00+00,660.82,3000.0,4.0,True,True,True,residential,40213.0,USA,Kentucky,"40213, Kentucky, USA",1.0,4908
N4Z9-NWQK-TJJ4,2167033778.0,False,MCR,2021/09/09 00:00:00+00,1000.0,600.0,3.0,True,True,True,residential,40208.0,USA,Kentucky,"40208, Kentucky, USA",3.0,4909
PWQW-VYNK-GXV9,2598570529.0,False,MCR,2021/09/30 00:00:00+00,112.41,3000.0,2.0,True,False,True,residential,40217.0,USA,Kentucky,"40217, Kentucky, USA",15.0,4910
4PQR-PWM2-2K3M,3998530169.0,False,MCR,2022/01/11 00:00:00+00,82.75,3000.0,3.0,True,False,True,residential,40229.0,USA,Kentucky,"40229, Kentucky, USA",13.0,4911
MMQW-4ZV3-MKH2,2092658174.0,True,MCR,2022/01/11 00:00:00+00,489.78,3000.0,3.0,True,True,False,residential,40219.0,USA,Kentucky,"40219, Kentucky, USA",23.0,4912
L9ZQ-YVLR-L2NZ,3774140000.0,True,MCR,2022/01/11 00:00:00+00,907.28,3000.0,6.0,True,False,True,residential,40243.0,USA,Kentucky,"40243, Kentucky, USA",19.0,4913
2NY3-WVYM-FXHM,8479865432.0,False,MCR,2022/01/11 00:00:00+00,156.88,3000.0,3.0,True,False,True,residential,40219.0,USA,Kentucky,"40219, Kentucky, USA",24.0,4914
QLQV-WV2Y-NNM4,2182720000.0,False,MCR,2022/01/12 00:00:00+00,191.2,3000.0,4.0,True,True,False,residential,40213.0,USA,Kentucky,"40213, Kentucky, USA",21.0,4915
QKNQ-ZVQY-PCHR,6456440000.0,False,MCR,2022/01/13 00:00:00+00,212.22,3000.0,4.0,True,False,True,residential,40218.0,USA,Kentucky,"40218, Kentucky, USA",1.0,4916
ZQQ3-92RL-KQTL,2710048517.0,False,MCR,2022/01/18 00:00:00+00,209.45,3000.0,3.0,True,False,True,residential,40229.0,USA,Kentucky,"40229, Kentucky, USA",23.0,4917
