AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
6149,POLICE SERGEANT                    ,F,W ,40 - 49,46,5TH DIVISION                                           ,1ST PLATOON                                            ,23.0,616
6150,POLICE OFFICER                     ,M,W ,40 - 49,47,COMPLAINT RESPONSE UNIT                                ,SQUAD 1                                                ,24.0,617
6184,POLICE SERGEANT                    ,M,W ,50 - 59,59,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,37.0,618
6195,POLICE SERGEANT                    ,M,W ,OVER 60,67,3RD DIVISION                                           ,2ND PLATOON                                            ,38.0,619
6196,POLICE OFFICER                     ,M,W ,OVER 60,69,6TH DIVISION                                           ,2ND PLATOON                                            ,40.0,620
6207,POLICE OFFICER                     ,M,B ,50 - 59,57,7TH DIVISION                                           ,2ND PLATOON                                            ,28.0,621
6219,POLICE MAJOR                       ,M,W ,50 - 59,57,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,34.0,622
6225,POLICE MAJOR                       ,M,W ,OVER 60,63,5TH DIVISION                                           ,STAFF                                                  ,37.0,623
6231,POLICE OFFICER                     ,M,W ,OVER 60,65,CANINE UNIT                                            ,1ST PLATOON                                            ,37.0,624
6235,POLICE OFFICER                     ,M,W ,50 - 59,52,CIS HOMICIDE                                           ,3RD PLATOON                                            ,20.0,625
6242,POLICE MAJOR                       ,M,W ,OVER 60,63,5TH DIVISION                                           ,STAFF                                                  ,35.0,626
6246,POLICE OFFICER                     ,M,W ,OVER 60,60,TRAFFIC                                                ,2ND PLATOON                                            ,32.0,627
6248,POLICE OFFICER                     ,M,B ,50 - 59,58,NARCOTICS                                              ,FEDERAL TASK FORCES                                    ,34.0,628
6262,POLICE LIEUTENANT                  ,F,W ,50 - 59,52,COMMUNITY POLICING UNIT                                ,STAFF                                                  ,31.0,629
6265,POLICE LIEUTENANT                  ,M,W ,50 - 59,53,RCFL                                                   ,STAFF                                                  ,25.0,630
6266,POLICE SERGEANT                    ,M,W ,50 - 59,52,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,25.0,631
6269,POLICE MAJOR                       ,M,B ,50 - 59,53,8TH DIVISION                                           ,STAFF                                                  ,28.0,632
6270,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,1ST DIVISION                                           ,BIKE PLATOON                                           ,25.0,633
6272,POLICE SERGEANT                    ,M,W ,OVER 60,64,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,42.0,634
6274,POLICE OFFICER                     ,M,H ,OVER 60,62,7TH DIVISION                                           ,2ND PLATOON                                            ,28.0,635
6290,POLICE OFFICER                     ,M,W ,OVER 60,68,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,25.0,636
6295,POLICE OFFICER                     ,M,B ,50 - 59,55,SPECIAL OPERATIONS                                     ,STAFF                                                  ,25.0,637
6299,POLICE OFFICER                     ,F,W ,40 - 49,44,3RD DIVISION                                           ,2ND PLATOON                                            ,22.0,638
6307,POLICE MAJOR                       ,F,W ,50 - 59,50,5TH DIVISION                                           ,STAFF                                                  ,23.0,639
6308,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,25.0,640
6310,POLICE OFFICER                     ,M,W ,OVER 60,65,8TH DIVISION                                           ,2ND PLATOON                                            ,41.0,641
6311,POLICE OFFICER                     ,M,W ,50 - 59,53,3RD DIVISION                                           ,2ND PLATOON                                            ,31.0,642
6312,POLICE SERGEANT                    ,F,W ,50 - 59,54,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,31.0,643
6314,POLICE OFFICER                     ,M,W ,40 - 49,49,8TH DIVISION                                           ,DETECTIVES                                             ,22.0,644
6317,POLICE OFFICER                     ,M,W ,OVER 60,61,8TH DIVISION                                           ,RESOURCE OFFICERS                                      ,24.0,645
6318,POLICE OFFICER                     ,M,W ,50 - 59,50,3RD DIVISION                                           ,1ST PLATOON                                            ,25.0,646
6319,POLICE OFFICER                     ,M,W ,50 - 59,54,8TH DIVISION                                           ,1ST PLATOON                                            ,22.0,647
6320,POLICE OFFICER                     ,M,W ,40 - 49,46,TECHNICAL SERVICES                                     ,TECHNICAL INVESTIGATIONS UNIT                          ,22.0,648
6321,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,DETECTIVES                                             ,22.0,649
