OBJECTID,OHV_AREA_ID,OHV_AREA_NM,OHV_AREA_NR,ADMIN_ST,ADM_UNIT_CD,ADMU_NM,LUPA_ID,LUP_NM,ROD_DT,LUP_OHV_DSGNTN,OHV_LMTN_CD,OHV_LMTN_TX,LUP_DCLR_ACRES,GIS_ACRES,BLM_ACRES,GlobalID,SHAPE_Length,SHAPE_Area
1867, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.04415996,,{8CCF5C63-67BE-452C-8BEB-5AC18DFB8B0D},292.959411692809,178.708885486079
1868, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.15929983,,{96CA1BAE-A980-4438-B386-94D304E62B38},194.457767402268,644.662486692133
1869, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.68349129,,{7ED69ED7-1C40-4E7B-964A-1DFC5536CE55},283.418514155599,2765.99519435151
1870, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,6.28495132,,{4F55AA42-437A-4412-8695-3BAD2AF990B4},1158.4275612875,25434.3148258144
1871, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,3.0396398,,{D3008671-BE43-49C7-B731-C6389B73B29F},667.377587373453,12300.9899879882
1872, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,9.49348354,,{B106E883-8693-49CF-B5EA-386F2F7FB67C},946.273858355141,38418.7434138287
1873, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.09922459,,{96CC5F91-0DDA-4DA9-8B26-3D877DFB136E},94.5352151539473,401.547651037824
1874, ,Priority Area 1: Cortez-Mancos,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,38.52296824,,{5EFE0A70-EFCC-4CDA-852F-27DB01700EDD},1579.52397236116,155896.921415255
1875, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.02688971,,{741B4025-F2F2-4B7E-805A-7D1CCBA58FC5},52.2243127256694,108.819592972872
1876, ,Priority Area 1: Cortez-Mancos,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,655.97819437,,{B753363A-1891-4E16-93EE-FC98116ADC11},7375.38888666893,646541.804284635
