OBJECTID,PL_LNGTH,PL_TOWNSHIP,PL_RANGE,PL_SECTION,PL_QUARTER,PL_SIXTEENTH,PL_GOVTLOT,PL_FEA_SYM,SHAPE_Length
11825,605.6804,0.0,0.0,0.0,0.0,0.0,1.0,GL,605.680402627481
11834,179.09812,0.0,0.0,0.0,0.0,0.0,1.0,GL,179.098118102537
11837,918.45343,0.0,0.0,1.0,1.0,1.0,1.0,SC,918.453425080892
11879,932.8667,0.0,0.0,0.0,1.0,1.0,1.0,QS,932.866700182925
11881,793.30826,0.0,0.0,0.0,0.0,0.0,1.0,GL,793.308259833003
11886,1423.83726,0.0,0.0,0.0,0.0,1.0,1.0,SX,1423.83726097287
11890,1312.24288,0.0,0.0,0.0,0.0,1.0,1.0,SX,1312.24288391983
11893,163.26137,0.0,0.0,0.0,0.0,0.0,1.0,GL,163.261365238495
11896,984.40778,0.0,0.0,0.0,0.0,0.0,1.0,GL,984.407781108579
11897,137.65928,0.0,0.0,0.0,0.0,1.0,1.0,SX,137.659275794313
11899,1380.07788,0.0,0.0,0.0,0.0,0.0,1.0,GL,1380.07787867551
11900,495.90795,0.0,0.0,1.0,1.0,1.0,1.0,SC,495.907953064922
11901,558.33925,0.0,0.0,0.0,0.0,0.0,1.0,GL,558.339254527887
11902,2129.48337,0.0,0.0,1.0,1.0,1.0,0.0,SC,2129.4833733351
12194,338.28546,0.0,0.0,0.0,0.0,0.0,1.0,GL,338.285457091716
12202,338.30758,0.0,0.0,0.0,0.0,0.0,1.0,GL,338.307581884495
12219,1259.05105,0.0,0.0,0.0,1.0,1.0,1.0,QS,1259.05105215436
12220,344.66323,0.0,0.0,0.0,0.0,0.0,1.0,GL,344.663225087282
12221,1452.36993,0.0,0.0,0.0,1.0,1.0,0.0,QS,1452.36993472721
12222,233.40693,0.0,0.0,0.0,0.0,0.0,1.0,GL,233.406934859546
12223,451.31222,0.0,0.0,0.0,0.0,0.0,1.0,GL,451.312220039527
12224,1318.57048,1.0,0.0,1.0,1.0,1.0,1.0,TS,1318.57048489335
12225,1318.57073,1.0,0.0,1.0,1.0,1.0,1.0,TS,1318.57073288507
12230,1347.70299,0.0,0.0,1.0,1.0,1.0,1.0,SC,1347.70299210365
12235,1351.72076,0.0,0.0,0.0,0.0,1.0,1.0,SX,1351.7207597425
12236,319.52992,0.0,0.0,0.0,0.0,1.0,1.0,SX,319.529921709613
12237,1325.96704,0.0,0.0,0.0,0.0,1.0,1.0,SX,1325.96704386365
12238,1352.72814,0.0,0.0,0.0,0.0,0.0,1.0,GL,1352.72813632697
12240,1652.39898,0.0,0.0,0.0,1.0,1.0,1.0,QS,1652.39898392172
12244,103.19963,0.0,0.0,0.0,0.0,0.0,1.0,GL,103.199630428683
12246,186.1146,0.0,0.0,0.0,0.0,0.0,1.0,GL,186.114595158278
12248,609.00502,0.0,0.0,0.0,0.0,0.0,1.0,GL,609.005019994134
12254,270.68011,0.0,0.0,0.0,0.0,0.0,1.0,GL,270.680111940436
12256,61.31924,0.0,0.0,0.0,0.0,0.0,1.0,GL,61.3192407038798
12267,1320.83577,0.0,0.0,0.0,1.0,1.0,1.0,QS,1320.8357748998
12269,181.62025,0.0,0.0,0.0,0.0,1.0,1.0,SX,181.620251202197
12270,1288.65006,0.0,0.0,0.0,0.0,0.0,1.0,GL,1288.65006245963
12282,2455.78457,0.0,1.0,1.0,1.0,1.0,0.0,RA,2455.78457346365
12283,1321.32067,0.0,0.0,0.0,0.0,0.0,1.0,GL,1321.32066809991
12284,189.33449,0.0,1.0,1.0,1.0,1.0,1.0,RA,189.334485373275
12286,49.00851,0.0,0.0,0.0,0.0,0.0,1.0,GL,49.0085136846968
12287,136.97378,0.0,0.0,0.0,1.0,1.0,1.0,QS,136.97378376481
12290,246.93745,0.0,0.0,0.0,0.0,0.0,1.0,GL,246.937446192569
12292,664.63377,0.0,0.0,1.0,1.0,1.0,1.0,SC,664.633766486845
12298,1323.12798,0.0,0.0,1.0,1.0,1.0,0.0,SC,1323.12798201926
12310,660.70729,0.0,0.0,1.0,1.0,1.0,0.0,SC,660.707289961659
