OBJECTID,WSA_NAME,WSA_NO,WSA_SUIT,BLM_ORG_CD,AUTH_NAME,BOUNDARY_STATUS,GIS_ACRES,SHAPE_Length,SHAPE_Area
276,Owyhee River Canyon WSA,3-195,N,ORV04,,Unknown,110.96123494,0.0293933061647843,4.94001475461755e-05
277,,roadout,X,ORV04,,Unknown,61.71608311,0.84597998044477,2.72740967532348e-05
278,Lookout Butte WSA,3-194,N,ORV04,,Unknown,66194.04092479,0.8214823209555,0.0291938877081446
279,Owyhee River Canyon WSA,3-195,N,ORV04,,Unknown,31059.63978209,0.506862800092453,0.0137282255513724
280,,out,X,ORV04,,Unknown,0.40555086,0.0026266098161995,1.78911134808896e-07
281,Owyhee River Canyon WSA,3-195,N,ORV04,,Unknown,64.06834084,0.0392984864883,2.84430980804598e-05
282,,roadout,X,ORV04,,Unknown,0.26137625,0.0034052084448829,1.16405657113473e-07
283,,out,X,ORV04,,Unknown,2.39093162,0.0048014669649611,1.06479518089977e-06
284,Owyhee River Canyon WSA,3-195,N,ORV04,,Unknown,1390.14258372,0.134195450119355,0.0006192306756717
285,,out,X,ORV04,,Unknown,0.99174325,0.0059616806170019,4.41230894298196e-07
286,,out,X,ORV04,,Unknown,13.73208249,0.0114838518683518,6.05681689240578e-06
287,,roadout,X,ORV04,,Unknown,6.67215026,0.0919278056320862,2.99044607966094e-06
288,,roadout,X,ORV04,,Unknown,56.88849945,0.763002071048748,2.54394973907838e-05
289,Lower Owyhee Canyon WSA,3-110,N,ORV04,,Unknown,1733.6643819,0.149004134973288,0.0007736713173382
290,Saddle Butte WSA,3-111,N,ORV04,,Unknown,85765.7751907,1.1029128898533,0.0383459061949991
291,,roadout,X,ORV04,,Unknown,7.01613989,0.109042164221721,3.14814717030226e-06
292,,roadout,X,ORV04,,Unknown,10.1798649,0.143413551568528,4.57520027236065e-06
293,,roadout,X,ORV04,,Unknown,1.60881359,0.0219757089229113,7.2271909527994e-07
294,Lower Owyhee Canyon WSA,3-110,N,ORV04,,Unknown,8283.87475856,0.285430673296343,0.003715046405505
295,,roadout,X,ORV04,,Unknown,1.62472105,0.0221543252647247,7.2933409775131e-07
296,,roadout,X,ORV04,,Unknown,13.03898781,0.188998803469297,5.85063060416362e-06
297,,roadout,X,ORV04,,Unknown,3.59198284,0.0524909436138321,1.61103506530684e-06
298,,out,X,ORV04,,Unknown,39.07142522,0.0167926105243455,1.72691414244322e-05
299,,out,X,ORV04,,Unknown,39.11003419,0.0167993214566122,1.7282329541571e-05
300,,out,X,ORV04,,Unknown,156.69964263,0.0336259591806727,6.92417425521366e-05
301,,out,X,ORV04,,Unknown,39.96915915,0.0169933606542581,1.76559282801209e-05
302,,out,Y,ORV04,,Unknown,860.78249299,0.146798016266228,0.0003801988897545
303,,roadout,Y,ORV04,,Unknown,6.55925549,0.0948543768644258,2.89715671815183e-06
304,,out,X,ORV04,,Unknown,38.69440483,0.016680134874632,1.70925067668345e-05
305,inholding,inholding,X,ORV04,,Unknown,38.69098035,0.0166824857974207,1.7082625268604e-05
306,inholding,inholding,X,ORV04,,Unknown,35.87478064,0.0162342762236753,1.5818822388143e-05
307,inholding,inholding,X,ORV04,,Unknown,40.75069821,0.0171270020344624,1.79714782345849e-05
308,,out,X,ORV04,,Unknown,1115.23451002,0.11511213161442,0.0004916283469979
309,Willow Creek WSA,3-152,N,ORV04,,Unknown,4507.54791016,0.218972689303741,0.0019896979703974
310,,roadout,X,ORV04,,Unknown,1.43736775,0.0209980935143748,6.34142054350284e-07
311,,roadout,X,ORV04,,Unknown,1.75600748,0.0223028111612616,7.74797246346054e-07
312,,roadout,Y,ORV04,,Unknown,2.81271039,0.0371876024991396,1.24263473959538e-06
313,,roadout,X,ORV04,,Unknown,8.42052312,0.123763334379194,3.71201218725444e-06
314,,roadout,Y,ORV04,,Unknown,13.45243901,0.191963733463804,6.0503435815337e-06
315,Honeycombs WSA,3-77A,Y,ORV04,,Unknown,34680.77952916,1.02759823292627,0.0156094711299835
316,,roadout,X,ORV04,,Unknown,1.49574609,0.0225187681963662,6.72847804492338e-07
317,Honeycombs WSA,3-77A,N,ORV04,,Unknown,135.68836149,0.0377410671511457,6.1034214043641e-05
318,,roadout,X,ORV04,,Unknown,0.93536124,0.0146298685768653,4.20705145082939e-07
319,Honeycombs WSA,3-77A,N,ORV04,,Unknown,0.18335238,0.0016838176701627,8.24499650078498e-08
320,Honeycombs WSA,3-77A,N,ORV04,,Unknown,110.27455404,0.0339661424857014,4.95955741659336e-05
321,,roadout,Y,NVW00,,Unknown,2.88803882,0.0369293748023034,1.26921085979078e-06
322,,roadout,Y,ORV04,,Unknown,11.35211117,0.152743996168278,5.13788114599935e-06
323,,out,Y,ORV04,,Unknown,3.12041501,0.0048094141215687,1.41093662706028e-06
324,,roadout,Y,ORV04,,Unknown,0.9194333,0.0127149837069479,4.15717512845261e-07
325,,roadout,X,ORV04,,Unknown,2.64925566,0.0395487336977377,1.19769873421537e-06
326,,roadout,X,ORV04,,Unknown,7.97898189,0.112712763174014,3.57806982679642e-06
327,,roadout,Y,ORV04,,Unknown,4.29707156,0.056833079138678,1.92296767746409e-06
328,,roadout,Y,ORV04,,Unknown,3.01652602,0.0395403711040472,1.35046240140059e-06
329,,roadout,Y,ORV04,,Unknown,2.36971733,0.0370526882655229,1.06006685876984e-06
330,,roadout,Y,ORV04,,Unknown,0.62815826,0.0099280738481716,2.80834851751423e-07
331,,roadout,X,ORV04,,Unknown,4.80840918,0.0658381048622519,2.15733721576679e-06
332,,roadout,X,ORV04,,Unknown,10.35714605,0.142599221798805,4.64491848241057e-06
333,Blue Canyon WSA,3-73,Y,ORV04,,Unknown,12580.62882841,0.663886589673659,0.0056470695007528
334,Owyhee Breaks WSA,3-59,Y,ORV04,,Unknown,10314.16514556,0.594888718148026,0.0046268645825451
335,,roadout,X,ORV04,,Unknown,12.69832802,0.198191896531553,5.68391153499003e-06
336,Owyhee Breaks WSA,3-59,N,ORV04,,Unknown,2794.33338192,0.193028893996015,0.0012525833203209
337,,out,X,ORV04,,Unknown,126.36122724,0.0391509814984725,5.66278966718268e-05
338,,out,X,ORV04,,Unknown,121.88929286,0.0466432831664942,5.46229071617373e-05
339,,roadout,X,ORV04,,Unknown,0.72035675,0.0092318484624709,3.22911564337849e-07
