OBJECTID,PLSSID,TWNSHPLAB,STEWARD,REVISEDDATE,STATEABBR,STWRDPLYID,STWRDPLYTP,STWRDLAB,SHAPE_Length,SHAPE_Area
187,AL250090N0190E0,T9N R19E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.37828481561206,0.0089023881295907
188,AL160080S0060E0,T8S R6E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.386421148113437,0.009255146165111
189,AL250060N0240E0,T6N R24E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.378331506267892,0.0088886116377644
190,AL160160S0130W0,T16S R13W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.38522293522005,0.009146461513149
191,AL160040S0020E0,T4S R2E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.391401259891457,0.0093670292367634
192,AL250190N0110E0,T19N R11E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.380932288833964,0.0090241367151277
193,AL250030N0050E0,T3N R5E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.377977864885379,0.0088662559883296
194,AL250210N0120E0,T21N R12E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.36379497607236,0.0081598558321058
195,AL160130S0030W0,T13S R3W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.384998240761101,0.0092104442520946
196,AL250060N0210E0,T6N R21E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.378090779012374,0.0089116706821736
197,AL250190N0130E0,T19N R13E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.382212793151393,0.0090470936459326
198,AL250010N0030W0,T1N R3W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.380251844348053,0.0089960239632696
199,AL160090S0030E0,T9S R3E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.382401482289339,0.0089527437074881
200,AL250200N0120E0,T20N R12E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.365827969626463,0.0084475480939
201,AL250060N0300E0,T6N R30E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.223444745785273,0.0012948654131817
202,AL250150N0290E0,T15N R29E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.384270514760803,0.0091950207008377
