OBJECTID,AV_LEGEND,IMS_LEGEND,COASTP_COD,COAST_POLY,NAMEDP_COD,NAMED_POLY,SCALELEVEL,STREAM_NO,STREAM,LAKE_NO,LAKE,BAY_NO,BAY,HARBOR_NO,HARBOR,SOUND_NO,SOUND,ACREAGE,Shape__Area,Shape__Length
10418,Water,Water,1,Inland Polygons,2,Named Waterbody,5,0, ,1858,Mill Pond,0, ,0, ,0, ,5.96843004,259985.072052002,2993.62666612688
10419,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,435,Carringtons Pond,0, ,0, ,0, ,1.42360997,62012.5380859375,1003.10463039839
10420,Water,Water,1,Inland Polygons,2,Named Waterbody,4,822,Horseneck Brook,0, ,0, ,0, ,0, ,0.304127,13247.6892089844,551.189636446238
10421,Water,Water,3,Coastal Water Polygons,2,Named Waterbody,1,0, ,0, ,78,Norwalk Harbor,78,Norwalk Harbor,3,Long Island Sound,1597.29003906,69577896.5943604,83429.4308716026
10422,Water,Water,1,Inland Polygons,2,Named Waterbody,1,0, ,0, ,78,Norwalk Harbor,78,Norwalk Harbor,3,Long Island Sound,0.89636999,39045.9547119141,1036.07510210627
10423,Water,Water,1,Inland Polygons,2,Named Waterbody,5,663,Goodwives River,552,Club Pond,0, ,0, ,0, ,0.397033,17294.8746948242,648.900130071032
10424,Water,Water,1,Inland Polygons,2,Named Waterbody,4,822,Horseneck Brook,2334,Putnam Lake Reservoir,0, ,0, ,0, ,95.56030273,4162604.88427734,14645.935012225
10425,Water,Water,1,Inland Polygons,2,Named Waterbody,5,663,Goodwives River,1764,Mansfield Pond,0, ,0, ,0, ,1.98961997,86667.8176574707,1160.23695873463
10426,Water,Water,1,Inland Polygons,2,Named Waterbody,5,663,Goodwives River,0, ,0, ,0, ,0, ,0.09093719,3961.2102355957,235.565766306993
10427,Water,Water,1,Inland Polygons,2,Named Waterbody,5,663,Goodwives River,0, ,0, ,0, ,0, ,0.11455299,4989.90975952148,272.610453742824
10428,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,2833,Taconic Pond,0, ,0, ,0, ,1.57718002,68702.1198120117,1167.70288878892
10429,Water,Water,1,Inland Polygons,2,Named Waterbody,3,262,Byram River,0, ,0, ,0, ,0, ,0.51715201,22527.0536499023,623.211406146688
10430,Water,Water,1,Inland Polygons,2,Named Waterbody,4,1469,Rockwood Lake Brook,0, ,0, ,0, ,0, ,0.13144099,5725.55047607422,337.79322662581
10431,Water,Water,1,Inland Polygons,2,Named Waterbody,5,423,Cummings Brook,666,Cummings Pond,0, ,0, ,0, ,0.34408199,14988.1976013184,547.37497786286
10432,Water,Water,1,Inland Polygons,2,Named Waterbody,4,504,East Branch Byram River,2101,Old Pond,0, ,0, ,0, ,1.44420003,62909.06640625,1418.55220695687
10433,Water,Water,1,Inland Polygons,2,Named Waterbody,4,1688,Stony Brook,0, ,0, ,0, ,0, ,0.189547,8256.6233215332,344.238009289766
10434,Water,Water,1,Inland Polygons,2,Named Waterbody,5,375,Converse Pond Brook,475,Center Pond,0, ,0, ,0, ,1.72235,75025.462677002,1439.36628502191
10435,Water,Water,1,Inland Polygons,2,Named Waterbody,4,1769,Tokeneke Brook,0, ,0, ,0, ,0, ,0.05388209,2347.12060546875,203.220494769167
10436,Water,Water,1,Inland Polygons,2,Named Waterbody,5,663,Goodwives River,0, ,0, ,0, ,0, ,0.0956754,4167.62078857422,279.534019633091
10437,Water,Water,1,Inland Polygons,2,Named Waterbody,3,1209,Noroton River,0, ,0, ,0, ,0, ,1.07036995,46625.1155395508,1517.93556254875
10438,Water,Water,1,Inland Polygons,2,Named Waterbody,4,700,Greenwich Creek,0, ,0, ,0, ,0, ,0.24586099,10709.743347168,444.885860200731
10439,Water,Water,1,Inland Polygons,2,Named Waterbody,3,262,Byram River,0, ,0, ,0, ,0, ,0.22490799,9797.03329467773,508.530721704946
10440,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,757,Doral Pond,0, ,0, ,0, ,3.80556011,165770.101928711,1776.48676179948
10441,Water,Water,1,Inland Polygons,2,Named Waterbody,4,1769,Tokeneke Brook,0, ,0, ,0, ,0, ,0.126926,5528.92852783203,302.630879354934
10442,Water,Water,1,Inland Polygons,2,Named Waterbody,5,423,Cummings Brook,0, ,0, ,0, ,0, ,0.0989098,4308.51089477539,261.487467588705
10443,Water,Water,1,Inland Polygons,2,Named Waterbody,4,1469,Rockwood Lake Brook,0, ,0, ,0, ,0, ,0.85340201,37174.2074279785,952.892437956656
10444,Water,Water,1,Inland Polygons,2,Named Waterbody,4,1769,Tokeneke Brook,2476,Route Pond,0, ,0, ,0, ,0.54927802,23926.4895019531,627.029136039038
10445,Water,Water,1,Inland Polygons,2,Named Waterbody,4,212,Brothers Brook,0, ,0, ,0, ,0, ,0.13101699,5707.07141113281,293.599909251043
10446,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,856,Escape Pond,0, ,0, ,0, ,0.74538898,32469.2301940918,1078.91520422422
