OBJECTID,DONUT,WETLANDS,ATTRIBUTE,DECODE,HGM_CODE,NAME,WETLAND_NAME,WETLAND_REPORT,CATEGORY,SOURCE,P_AREA,SHAPE_Length,SHAPE_Area
427,,,PUBHx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2C,,,,,,52326.01923941,967.683062175529,52326.0411529703
428,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R2A,,,,,,19487.91456577,2110.74408105103,19487.9402806819
429,,,R3UBH,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R1A,,,,,,16600.80982513,2557.21665675198,16600.7903967662
430,,,PUBHx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2C,,,,,,62401.93215855,1424.25743035229,62401.9674529853
431,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,636.73117176,94.2185566530276,636.732073934518
432,,,R3UBH,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R1A,,,,,,50670.86819281,7434.38382539137,50670.8785588935
433,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,622.16586264,185.901486147206,622.175712944387
434,,,PSSCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,1078.56282125,283.48941750779,1078.55967888425
435,,,PUBHx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,2092.53712959,245.273279447795,2092.54000736018
436,,,PUBHx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,1399.39856454,151.345444732041,1399.39984197892
437,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,211.80692452,91.8484856094296,211.80212969258
438,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,257.06411385,110.378413358158,257.065736240548
439,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,216.44798359,93.3508690032717,216.450012963062
440,,,PUBHx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2B,,,,,,4217.55433991,267.813789562548,4217.55027506294
441,,,PEM/FOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,727.97120246,100.00477171142,727.967050089076
442,,,PSSAx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,612.46315823,129.331353736272,612.466157315681
443,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,617.17894205,113.840665897075,617.180445270235
444,,,PFOA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R2A,,,,,,14571.64219375,806.569238072287,14571.6361286794
445,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,1488.13108192,154.240984680661,1488.12932433529
446,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,5526.80462228,394.727781544091,5526.80242837458
447,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,782.19142462,123.06914705701,782.191749230631
448,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,1022.23320236,126.38435151199,1022.23393178106
449,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,614.5883929,93.0371500697005,614.587839445307
450,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,1697.82710843,171.289722404008,1697.82564747715
451,,,PFOA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R2A,,,,,,23120.54242225,1080.15052666177,23120.5303888124
