ObjectId,Street_,Dir,Post_Dir,Street,Type_,Loc,Zip,Council,Neighborhood,Referred,Down___Clear
319,3524,,,Greenwood,Ave,Entire,,,,,2007/08/22 03:59:59+00
320,3534,,,Greenwood,Ave,Entire,,,,,2007/08/22 03:59:59+00
321,2021,W,,Market,St,Entire,,,,,2007/08/22 03:59:59+00
322,3906,,,Greenwood,Ave,Entire,,,,,2007/08/29 03:59:59+00
323,1912,,,Griffiths,Ave,Entire,,,,,2007/09/01 03:59:59+00
324,2229,,,Griffiths,Ave,Entire,,,,,2007/09/05 03:59:59+00
325,2410,,,Griffiths,Ave,Entire,,,,,2007/09/06 03:59:59+00
326,2821,,,Griffiths ,Ave,Entire,,,,,2007/09/20 03:59:59+00
327,2828,,,Griffiths ,Ave,Entire,,,,,2007/09/25 03:59:59+00
328,1518,,,Hale,Ave,Entire,,,,,2007/09/25 03:59:59+00
329,1819,,,Osage,Ave,Entire,,,,,2007/09/25 03:59:59+00
330,1630,,,Hale,Ave,Entire,,,,,2007/09/27 03:59:59+00
331,1826,,,Hale,Ave,Entire,,,,,2007/10/01 03:59:59+00
332,1829,,,Hale,Ave,Entire,,,,,2007/10/01 03:59:59+00
333,3511,,,Hale,Ave,Entire,,,,,2007/10/09 03:59:59+00
334,928,S,,Hancock,St,Entire,,,,,2007/10/16 03:59:59+00
335,1426,,,Hancock,St,Entire,,,,,2007/10/18 03:59:59+00
336,1694,,,Harold,Ave,Entire,,,,,2007/10/25 03:59:59+00
337,11209,,,Harrison,Ln,Entire,,,,,2007/10/30 03:59:59+00
338,1530,,,Hemlock,St,Entire,,,,,2007/10/30 03:59:59+00
339,1921,W,,Market,St,Rear,40203.0,,,,2007/10/30 03:59:59+00
340,1542,,,Hemlock,St,Entire,,,,,2007/11/01 03:59:59+00
341,722,,,Henry Firpo,St,Entire,,,,,2007/11/06 05:00:00+00
342,3229,,,Herman,St,Entire,,,,,2007/11/12 05:00:00+00
343,1210,,,Herr,Ave,Entire,,,,,2007/11/16 05:00:00+00
344,13007,,,Hidden Springs,Rd,Entire,,,,,2007/11/16 05:00:00+00
345,637,E,,Hill,St,Entire,,,,,2007/11/20 05:00:00+00
346,709,E,,Hill,St,Entire,,,,,2007/11/28 05:00:00+00
347,2327,W,,Hill,St,Rear,,,,,2007/11/28 05:00:00+00
348,1602,W,,Oak,St,Entire,,,,,2007/11/28 05:00:00+00
349,1604,W,,Oak,St,Entire,,,,,2007/11/28 05:00:00+00
350,125,,,Hill Bend,Pl,Entire,,,,,2007/12/05 05:00:00+00
351,9308,,,Smyrna,Pkwy,Entire,,,,,2008/04/08 03:59:59+00
352,1039,,,Dixon,Ave,Entire,,,,,2008/04/11 03:59:59+00
353,2613,W,,Kentucky,St,Entire,,,,,2008/04/14 03:59:59+00
354,2611,W,,Kentucky,St,Entire,,,,,2008/04/17 03:59:59+00
355,2706,W,,Kentucky,St,Entire,,,,,2008/04/17 03:59:59+00
356,221,S,,32nd,St,Entire,,,,,2008/04/18 03:59:59+00
357,2910,W,,Kentucky,St,Entire,,,,,2008/04/21 03:59:59+00
358,615,N,,29th,St,Entire,,,,,2008/04/23 03:59:59+00
359,2915,W,,Kentucky,St,Entire,,,,,2008/04/23 03:59:59+00
360,2218,,,Duncan,St,Entire,,,,,2008/05/23 03:59:59+00
361,629,N,,28th,St,Entire,,,,,2008/06/20 03:59:59+00
