X,Y,OBJECTID,STOPID,STOPABBR,STOPNAME,LON,LAT
1205058.06,245956.881249994,963,422,2545,Steedly @ Southside,-85.764319,38.165579
1259933.01125,274514.176249996,964,4538,25450,Shelbyville @ Daventry,-85.574903,38.246311
1259452.16,274570.628749996,965,4539,25455,Shelbyville @ Hurstbourne,-85.57658,38.246447
1258811.97,274651.606250003,966,4540,25460,Shelbyville @ Eden,-85.578813,38.246644
1258170.07125001,274713.321250007,967,4542,25470,Shelbyville @ Whittington,-85.581051,38.246788
1256425.99124999,274904.296250001,968,4545,25480,Shelbyville @ Chadwick,-85.587133,38.247243
1255257.53874999,275038.196250007,969,4546,25485,Shelbyville @ Bellemeade,-85.591208,38.247564
1254370.10875,275140.728750005,970,4547,25490,Shelbyville @ Shaftsbury,-85.594303,38.24781
1253521.48625,275245.272499993,971,4548,25495,Shelbyville @ Wood,-85.597263,38.248063
1204966.34999999,246902.0625,972,423,2550,Southside @ Gheens,-85.764692,38.16817
1253120.0575,275310.512500003,973,4549,25500,Shelbyville @ Lyndon,-85.598664,38.248226
1250764.06,274628.363749996,974,4551,25510,Christian Way @ Christian Court,-85.606832,38.246258
1214395.03625,278074.467500001,975,4553,25520,Main @ Wenzel,-85.733647,38.25418
1213731.465,278171.848749995,976,4554,25525,Main @ Campbell,-85.735963,38.254418
1213150.89875001,278269.361249998,977,4555,25530,Main @ Shelby,-85.73799,38.25466
1212663.39,278349.357500002,978,4556,25535,Main @ Clay,-85.739692,38.254858
1211533.2825,278526.09375,979,4558,25545,Main @ Jackson,-85.743637,38.255293
1205001.38875,247459.09375,980,424,2555,Southside @ Rochester,-85.764602,38.169701
1210241.08875,278712.798749998,981,4560,25555,E Main @ Floyd,-85.748147,38.255748
1209219.64,278700.297499999,982,4561,25560,S 1st @ E Main,-85.751703,38.255668
1208174.53749999,271915.302499995,983,81,256,S 1st @ W St Catherine,-85.754956,38.236992
1205006.58125,248071.977500007,984,425,2560,Southside @ Southland,-85.764619,38.171384
