COUNTY1_00,COUNTY2_00,DIR_FLY,FRAME,MODEL00,OBJECTID,LINE00,SEQUENCE00,YEAR,CAN_NBR00,FLGTDATE00,SCALE00,PRINTSAVAIL,SHAPEAREA,SHAPELEN
Jefferson, ,W-E,04&05,039004,160,039,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326999.6072961,12663.9915065727
Jefferson, ,W-E,04&05,041004,161,041,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9327107.93341797,12664.0602638714
Jefferson, ,E-W,04&05,038004,162,038,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326874.14874219,12663.9152247884
Jefferson, ,E-W,04&05,040004,163,040,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9327240.71111172,12664.1204679729
Jefferson, ,E-W,04&05,042004,164,042,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9327349.07107266,12664.2528022198
Oldham, ,E-W,05&06,001005,165,001,5,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324737.01819844,12662.3702869626
Oldham, ,E-W,05&06,002005,166,002,5,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324853.68835625,12662.4865137096
Oldham, ,E-W,05&06,003005,167,003,5,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324770.67523828,12662.4314269304
Oldham, ,E-W,05&06,004005,168,004,5,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324647.26508203,12662.3488403515
Oldham, ,E-W,05&06,005005,169,005,5,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324518.85596094,12662.2637539205
Oldham, ,E-W,05&06,006005,170,006,5,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324376.42198906,12662.1711321528
Oldham, ,W-E,05&06,008005,171,008,5,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324179.74130078,12662.040919513
Oldham, ,W-E,05&06,009005,172,009,5,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324103.16093594,12661.9895609694
Oldham, ,W-E,05&06,010005,173,010,5,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323978.68229219,12661.9069501897
Oldham, ,W-E,05&06,011005,174,011,5,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323855.23987969,12661.8243346276
