OBJECTID,adm_code,adm_manage,adm_name,GIS_acres,SMA_ID,GlobalID,SHAPE_Length,SHAPE_Area
4623,USFS,USFS,,0.09783443,915.0,{51C9E0EE-F3D5-457A-A6B7-1C39FD9103D5},105.127430781786,395.921878880567
4624,BLM,BLM,,0.35693918,2.0,{A2B45250-2495-4601-B655-F9A6048E5AE8},448.971678425419,1444.48160633353
4625,BLM,BLM,,16.2558302,2.0,{CD1DE744-34B9-48F8-BAA4-B26C4E5DD80A},2531.58034098834,65785.0108416809
4626,STA,STA,,630.64992353,2386.0,{A172B772-DB02-4A94-B5FE-D84907345BF6},6390.30451192432,2552149.69333699
4627,PRI,PRI, ,10.32036175,2388.0,{DA9D98AD-03DE-4B90-8563-00CE8B4D3BA9},1096.76976304942,41765.0222348515
4628,BLM,BLM,,38.11448603,2.0,{A0B6A288-51D8-4E42-A5B3-44C8BBBF9D4E},1943.06158308118,154243.852590457
4629,USFS,USFS,,0.13762708,915.0,{4A65C26E-5B61-470D-A083-24CA29AF1BED},124.204036518446,556.95703174726
4630,BOR,BOR,,7.32478485,2366.0,{B3DE6EC1-EC19-44CF-A724-43D743F1A429},745.003914761284,29642.3526173643
4631,LOCAL,LOCAL,Apishapa SWA,7181.89897112,2387.0,{68C31259-CA0B-41C9-8C94-5D53603432F6},47309.2125825884,29064113.9763191
4632,PRI,PRI, ,7.23775763,2388.0,{C8221800-8488-44D2-A297-E6D31C5BFDA4},1019.37089423832,29290.1659339294
4633,PRI,PRI, ,165.71360059,2388.0,{BCEF4982-D8E0-4871-94F9-AD9E20523FE6},4030.70527932108,670619.148843747
4634,PRI,PRI,Inholding within ROMO legislated boundary,0.96049354,2388.0,{697ACAF1-7F0E-4C83-B1CF-1F96DD0AA136},254.954401635451,3886.97947037819
4635,PRI,PRI, ,5.2327727,2388.0,{E9D3400A-BDDC-40DA-BFF7-28E4405E0DB2},1006.34866959747,21176.2798061709
4636,BLM,BLM,,241.95185355,2.0,{B989FBE0-F4D9-45F8-87A3-D0D671426F96},5666.43182887893,979144.4124611
4637,BLM,BLM,,22.46513967,2.0,{C41F89DA-F325-4332-A661-ADC6AA63729C},2010.23725247062,90913.1947463504
4638,LOCAL,LOCAL,,0.0073127,2387.0,{B5850519-D235-445F-B33D-22AF1A98D51D},63.2663179746865,29.5934298542303
4639,PRI,PRI, ,11.0312838,2388.0,{630DC657-6FAF-4111-8C1E-6EA31D3191C7},1096.70017962473,44642.0216866848
4640,PRI,PRI, ,0.00832907,2388.0,{A28B510B-7841-41E1-BDD4-A29DDD442448},333.831955074039,33.7065670536354
4641,USFS,USFS,,0.3414091,915.0,{C0758074-8045-4BB9-AE80-E74E631221BE},180.066457893346,1381.633605019
