OBJECTID,GEOID10,ALAND10,AWATER10,GlobalID,T_Parcel,T_Str_CR,Pct_S_CR,T_Str_1230,Pct_S_1230,T_Vac_Q413,Pct_V_Q413,T_Vac_Q114,Pct_V_Q114,T_Vac_Q214,Pct_V_Q214,T_Vac_Q314,Pct_V_Q314,T_Vac_Q414,Pct_V_Q414
117,261635353003005,24732,0,83cf3d92-d1dd-4afe-a05a-92309e14b8a7,40.0,38.0,0.95,38.0,0.95,10.0,0.263157894736842,10.0,0.263157894736842,8.0,0.210526315789474,7.0,0.184210526315789,7.0,0.184210526315789
118,261635437001008,8139,0,559ec977-7b0b-4094-9d8e-683a0edc8dd2,,,,,,,,,,,,,,,
119,261635439002030,12438,0,0780cc35-eac1-4a5e-a8dd-62ba9d8dcd27,24.0,5.0,0.208333333333333,5.0,0.208333333333333,4.0,0.8,2.0,0.4,2.0,0.4,2.0,0.4,2.0,0.4
120,261635439002012,7981,0,5a041252-9ec6-47ac-ba9d-24310194aadb,12.0,6.0,0.5,5.0,0.416666666666667,1.0,0.166666666666667,1.0,0.166666666666667,1.0,0.166666666666667,1.0,0.166666666666667,1.0,0.166666666666667
121,261635437002014,32223,0,fe1333bb-8bc8-4ca8-ac2e-bf1e5e6825e4,32.0,28.0,0.875,26.0,0.8125,11.0,0.392857142857143,10.0,0.357142857142857,10.0,0.357142857142857,10.0,0.357142857142857,9.0,0.321428571428571
122,261635439002013,31139,0,f28f1352-5df8-4015-996e-959ed2780509,23.0,21.0,0.91304347826087,20.0,0.869565217391304,15.0,0.714285714285714,15.0,0.714285714285714,15.0,0.714285714285714,15.0,0.714285714285714,14.0,0.666666666666667
123,261635393001014,13448,0,1d427ae0-954d-4627-a1df-f0636bb49497,14.0,12.0,0.857142857142857,12.0,0.857142857142857,3.0,0.25,3.0,0.25,2.0,0.166666666666667,2.0,0.166666666666667,2.0,0.166666666666667
124,261635169001007,3773,0,62a68bfa-2c37-43b7-81da-26857b0ab657,,,,,,,,,,,,,,,
125,261635437001017,12368,0,90dae134-1348-4b9c-8c78-89b4ad0eb557,,,,,,,,,,,,,,,
126,261635469001031,5045,0,e4a4804e-8a28-4667-b92e-6a1a97001a66,,,,,,,,,,,,,,,
127,261635437001015,6625,0,9f948137-a95b-47c4-ab50-a603c26fe0df,,,,,,,,,,,,,,,
