OBJECTID,LAND_CLASS,CT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
428,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,171.199566379612,-1697.38538450879
429,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,206.756453710731,-2590.65493007859
430,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,159.361230596185,-1696.17122085571
431,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,355.474653946575,-7363.44560093018
432,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,192.050441821004,-2296.49782614611
433,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,338.721820930519,-7277.75682404736
434,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,194.588577481458,-2736.37657283814
435,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,800.596801974623,-20147.7333138511
436,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,2991.81295481936,-361677.035981038
437,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,155.401749307825,-1612.72069645589
438,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,471.046782337337,-10859.3434959001
439,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,283.669366255159,-4141.82260939943
440,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,690.880627824721,-18435.0838917446
441,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,612.389985815748,-17253.3781656493
442,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,1471.26665096913,-46409.2991089919
443,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,497.157023028163,-13409.8702241991
444,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,1064.81943575602,-27586.0590914767
445,Land,Connecticut,CT,Connecticut,CNTY_COD,4,Middlesex,False, , , ,1761.03368167254,-56161.5393034473
446,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,1158.1078043561,-69599.94597619
447,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,739.462958530919,-25111.1398863588
448,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,156.092971640034,-1639.22037498024
449,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,203.824977029189,-2595.53444339171
450,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,605.572640730575,-14374.6581262182
451,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,False, , , ,1401.97658548487,-137276.72997757
452,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,338.831309257182,-5705.61282045137
453,Land,Connecticut,CT,Connecticut,CNTY_COD,5,New Haven,False, , , ,237.982514472927,-3188.69714163256
454,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,309.381932933841,-5898.89958080012
455,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,False, , , ,721.140997693943,-29779.6355980832
456,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,False, , , ,1084.99706019958,-34166.3280639295
457,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,False, , , ,3606.99467239005,-153455.439755134
458,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,202.073623057524,-2997.92686197966
459,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,3721.19152778687,-691955.373812912
460,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,7461.31766044481,-2573151.93561955
461,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,False, , , ,1619.02226656492,-132620.15287606
462,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,211.632891105347,-2636.5046695646
463,Land,Connecticut,CT,Connecticut,CNTY_COD,4,Middlesex,False, , , ,202.752943806727,-2248.62388928004
464,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,361.750163344917,-8944.69180787573
465,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,755.279752450843,-35507.0772436696
466,Land,Connecticut,CT,Connecticut,CNTY_COD,4,Middlesex,False, , , ,525.218616293073,-17118.2121935454
