OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,SASC_STE_ADSYS_CODE,STE_ADSYS_CODE_DESC,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,Shape__Length
9196,210N-W,0.0,0.56,J,State institution road,77,MANSFIELD,2022,21ec0491-8404-4ef8-b2fe-20979a843e66,2944.13669124612
9197,211N-W,0.0,0.55,J,State institution road,77,MANSFIELD,2022,b8d85932-861c-4dca-af73-49dd1d6501e5,2893.80457932468
9198,213N-N,0.0,1.46,J,State institution road,77,MANSFIELD,2022,9ff33d75-00e3-4dc4-b313-269dbd50d22c,7741.82881900383
9199,214N-S,0.0,0.22,J,State institution road,77,MANSFIELD,2022,8b638d9e-a090-49e2-b550-c296ffd43729,1169.96472917955
9200,215-E,0.0,4.65,2,State Secondary (State Maintained),58,GROTON,2022,ff77a402-10e1-494e-b51a-88f6dbb9f146,24514.8323995427
9201,217-N,0.09,3.79,2,State Secondary (State Maintained),82,MIDDLETOWN,2022,8c6333ed-a292-4dab-bee9-9467a274eabe,19604.11255359
9202,221N-N,0.0,0.51,J,State institution road,77,MANSFIELD,2022,5760d7eb-c450-4aee-9260-d44055b57d02,2716.66291279156
9203,30L-W,0.0,1.31,I,State Park and Forest,97,NORFOLK,2022,59c3ef57-be1c-47a3-9429-86baf6b59f2a,6811.46335050868
9204,31-E,13.66,14.34,2,State Secondary (State Maintained),77,MANSFIELD,2022,61f34774-41d2-4b5e-86ba-21c224ca6621,3596.41622326342
9205,312N-N,0.0,0.11,J,State institution road,151,WATERBURY,2022,71ed9f0d-3d9b-4d74-901e-0c106b577822,653.31733751261
9206,31M-S,0.0,1.43,I,State Park and Forest,31,CORNWALL,2022,609e10d7-05b8-4857-a8c7-a672df232acb,7602.57352932341
9207,8-N,24.06,27.44,1,State Primary (State Maintained),87,NAUGATUCK,2022,34de45ab-3536-45de-a8e8-836cf2bc4ee5,17861.5898208953
9208,8-N-106,0.0,0.14,5,"Ramps, Turning Roadways or Connectors",143,TORRINGTON,2022,5da9c035-8a40-4953-8ffc-d35984800ece,684.607715650256
9209,8-N-131,0.0,0.18,5,"Ramps, Turning Roadways or Connectors",151,WATERBURY,2022,65bc8979-3524-469b-a498-c4027e092879,932.029809234667
9210,8-N-136,0.0,0.25,5,"Ramps, Turning Roadways or Connectors",6,BEACON FALLS,2022,d490e966-cf20-4acf-9518-440375244a27,1251.26516409712
9211,8-N-137,0.0,0.25,5,"Ramps, Turning Roadways or Connectors",6,BEACON FALLS,2022,c4c20f42-5834-43d3-82ad-89b474e37213,1330.70482408092
9212,8-N-146,0.0,0.23,5,"Ramps, Turning Roadways or Connectors",87,NAUGATUCK,2022,cf0ab334-c247-4b33-b7a4-6685b7381f59,1244.65749868444
9213,8-N-150,0.0,0.36,5,"Ramps, Turning Roadways or Connectors",36,DERBY,2022,49c61c77-d74a-45ce-9946-c4bd27720b20,1871.60688294346
9214,8-N-28,0.0,0.23,5,"Ramps, Turning Roadways or Connectors",36,DERBY,2022,5e2395d9-300a-489b-abde-3e2c60240f70,1228.89607390287
9215,95-N-193,0.0,0.21,5,"Ramps, Turning Roadways or Connectors",59,GUILFORD,2022,7a763b6b-dac7-4553-b76d-d4c317d6c6b9,1128.6827800899
9216,95-N-196A,0.0,0.02,5,"Ramps, Turning Roadways or Connectors",75,MADISON,2022,7d621770-4d7b-4e0c-af4c-4d8eb767522d,161.733719718496
9217,95-N-232,0.0,0.03,5,"Ramps, Turning Roadways or Connectors",104,OLD LYME,2022,942a9981-0de3-4244-a396-167aa708e928,160.996936356899
9218,95-N-235,0.0,0.07,5,"Ramps, Turning Roadways or Connectors",44,EAST LYME,2022,0d5722f9-a150-4d46-a7cc-99ae42734962,446.834106730906
9219,95-N-237,0.0,0.1,5,"Ramps, Turning Roadways or Connectors",44,EAST LYME,2022,ff079069-7895-4458-b325-742a4a0a9fcd,551.964101200545
9220,95-N-277,0.0,0.2,5,"Ramps, Turning Roadways or Connectors",137,STONINGTON,2022,32bc68ad-9ef6-42f5-bc4c-041293c6fcc3,1082.12576974657
9221,95-N-284,0.0,0.31,5,"Ramps, Turning Roadways or Connectors",101,NORTH STONINGTON,2022,f8ec583d-505f-47ae-9018-b94fe8fe9747,1623.72014715524
9222,95-N-286,0.0,0.17,5,"Ramps, Turning Roadways or Connectors",101,NORTH STONINGTON,2022,5948e0e5-30b2-4b47-a20c-9d59eb69bd4c,910.715423032959
