AGE_GROUP,CONFIRMED_by_age,CongregateSetting,FORMRECEIVED_WEEK_ENDING,non_CongregateSetting,REPORTED,ObjectId
65,388,0,2022/07/09 04:00:00+00,388,2022/10/09 10:17:00+00,274
65,578,0,2022/07/16 04:00:00+00,578,2022/10/09 10:17:00+00,275
0,473,0,2022/07/23 04:00:00+00,473,2022/10/09 10:17:00+00,276
65,524,0,2022/07/23 04:00:00+00,524,2022/10/09 10:17:00+00,277
0,502,0,2022/07/30 04:00:00+00,502,2022/10/09 10:17:00+00,278
20,1163,0,2022/07/30 04:00:00+00,1163,2022/10/09 10:17:00+00,279
65,559,0,2022/07/30 04:00:00+00,559,2022/10/09 10:17:00+00,280
45,702,0,2022/08/06 04:00:00+00,702,2022/10/09 10:17:00+00,281
20,836,0,2022/08/13 04:00:00+00,836,2022/10/09 10:17:00+00,282
45,654,0,2022/08/13 04:00:00+00,654,2022/10/09 10:17:00+00,283
20,779,0,2022/08/27 04:00:00+00,779,2022/10/09 10:17:00+00,284
45,590,0,2022/08/27 04:00:00+00,590,2022/10/09 10:17:00+00,285
0,552,0,2022/09/03 04:00:00+00,552,2022/10/09 10:17:00+00,286
65,416,0,2022/09/03 04:00:00+00,416,2022/10/09 10:17:00+00,287
0,301,0,2022/09/10 04:00:00+00,301,2022/10/09 10:17:00+00,288
45,266,0,2022/09/17 04:00:00+00,266,2022/10/09 10:17:00+00,289
20,330,0,2022/09/24 04:00:00+00,330,2022/10/09 10:17:00+00,290
45,260,0,2022/09/24 04:00:00+00,260,2022/10/09 10:17:00+00,291
65,243,0,2022/09/24 04:00:00+00,243,2022/10/09 10:17:00+00,292
20,340,0,2022/10/01 04:00:00+00,340,2022/10/09 10:17:00+00,293
45,273,0,2022/10/01 04:00:00+00,273,2022/10/09 10:17:00+00,294
0,119,0,2022/10/08 04:00:00+00,119,2022/10/09 10:17:00+00,295
45,251,0,2022/10/08 04:00:00+00,251,2022/10/09 10:17:00+00,296
65,176,0,2022/10/08 04:00:00+00,176,2022/10/09 10:17:00+00,297
45,47,0,2020/03/28 04:00:00+00,47,2022/10/09 10:17:00+00,298
65,58,12,2020/04/04 04:00:00+00,46,2022/10/09 10:17:00+00,299
20,47,4,2020/04/11 04:00:00+00,43,2022/10/09 10:17:00+00,300
65,456,71,2020/11/14 05:00:00+00,385,2022/10/09 10:17:00+00,301
20,1478,10,2020/11/21 05:00:00+00,1468,2022/10/09 10:17:00+00,302
65,482,60,2020/11/21 05:00:00+00,422,2022/10/09 10:17:00+00,303
0,505,3,2020/11/28 05:00:00+00,502,2022/10/09 10:17:00+00,304
65,485,30,2020/11/28 05:00:00+00,455,2022/10/09 10:17:00+00,305
20,1408,9,2020/12/12 05:00:00+00,1399,2022/10/09 10:17:00+00,306
0,355,4,2020/12/19 05:00:00+00,351,2022/10/09 10:17:00+00,307
