OBJECTID,SMPOLY_COD,SURFM_POLY,DESCRIP,IMS_LEGEND,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
4812,W,Water,Water,Water,6.3538599,0.0099279,2871.25143574637,276774.589112606
4813,SG,Sand+Gravel,Sand and Gravel,Coarse,6.05184984,0.00945601,2384.72250115812,263618.515555838
4814,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,11.14500045,0.01741399,8927.00902495211,485473.87790557
4815,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,49.37839889,0.07715369,8945.09625336368,2150920.68061137
4816,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,24.90119934,0.03890819,9709.15998822436,1084696.46278937
4817,T,Till,Till,Till,6.42955017,0.01004619,2110.61613179732,280071.120227521
4818,A/SG/S,Alluv/Sand+Gravel/Sand,Alluvium overlying Sand and Gravel overlying Sand,Natural Postglacial,4.73168992,0.00739326,2368.58482544821,206112.584076163
4819,SG,Sand+Gravel,Sand and Gravel,Coarse,29.7758007,0.04652469,5215.05241726543,1297032.50747588
4820,SG,Sand+Gravel,Sand and Gravel,Coarse,5.32447004,0.00831948,2503.35727269871,231934.067913546
4821,W,Water,Water,Water,19.64900016,0.03070149,5295.42360179763,855909.685737081
4822,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,0.80877798,0.00126371,2110.03458980389,35230.3760440683
4823,W,Water,Water,Water,5.99880981,0.00937314,3973.54712355797,261308.405807039
4824,W,Water,Water,Water,38.04240036,0.05944129,5628.70820373403,1657127.19842942
4825,SG,Sand+Gravel,Sand and Gravel,Coarse,2.82477998,0.00441372,1649.41583810601,123047.288361294
4826,TT,Thick Till,Thick Till,Thick Till,1100.34997558,1.71929001,51845.7673871817,47931171.4085821
4827,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,11.24660015,0.01757279,4522.94426886759,489902.756299642
4828,T,Till,Till,Till,4005.60009765,6.25874996,151295.354209817,174483998.668156
