OBJECTID,COORD_SRC_TYPE,COORD_SRC2,DEF_FET_TYPE,DEF_FET2,ACCURACY_FT,GlobalID,ADMIN_ST,SHAPE_Length
4189,UNK,UNK,UNK,UNK,40,{6D6F70FB-9909-4E76-91CC-7CBE71E6F2C0},UT,10696.5857594503
4190,MAP,MAP,PLSS,PARCEL,167,{64C6C50B-E7DB-4A3A-B0CA-1C3196AE18DD},UT,611.328031408655
4191,UNK,UNK,UNK,UNK,40,{FD34F825-21B0-4CAB-BA83-27C64A7CB592},UT,2154.59863992103
4192,MAP,MAP,PLSS,PARCEL,167,{EC3F2DD0-1797-4423-A994-270EDFCF7618},UT,463.646250332675
4193,UNK,UNK,UNK,UNK,40,{C9B9C631-89E0-4483-8500-DEE7B8381ADD},UT,16.5330463009369
4194,UNK,UNK,UNK,UNK,40,{3A86E2A1-E5A5-4B95-BCE3-A3DA40051AC0},UT,11787.4297447333
4195,UNK,UNK,UNK,UNK,40,{F17726BD-0CE6-4F4F-BB61-166D4A5446F8},UT,15265.6605077161
4196,UNK,UNK,UNK,UNK,40,{F7B22CE9-D263-4333-AF02-CBFC6A8DE6F5},UT,3901.09189263526
4197,MAP,MAP,UNK,UNK,-1,{3F741069-BF2C-4CAD-A2D4-B05535A61CA3},UT,3644.63157614036
4198,MAP,MAP,PLSS,PARCEL,167,{A030919A-F40F-4358-B0FC-15F0FABE0349},UT,3507.33890598875
4199,UNK,UNK,UNK,UNK,40,{BA6A4B13-67F1-4370-860C-64FF5E7FC33A},UT,13566.3243709197
4200,MAP,MAP,UNK,UNK,-1,{498EC112-3C71-440F-BED6-ABC09E471703},UT,9772.63139255472
4201,MAP,MAP,PLSS,PARCEL,-1,{4D7ED027-F6C1-4913-8F09-595B2BB451CB},UT,1445.55962634538
4202,UNK,UNK,UNK,UNK,40,{E8FA890E-1EF9-4587-9340-6C48CE6E71E2},UT,1210.58949472743
4203,UNK,UNK,UNK,UNK,40,{17DDBDCD-5C28-466F-96C2-C3DA2FC75663},UT,456.1625866647
4204,MAP,MAP,PLSS,PARCEL,167,{AB8620AA-1E41-486F-B26A-496B9FCB64CB},UT,17195.3918703555
4205,MAP,MAP,UNK,UNK,-1,{8672013A-6782-417A-89FF-204E52C566F4},UT,4097.26247665114
4206,MAP,MAP,UNK,UNK,-1,{31410099-4B70-44D6-A43D-FCCEF77458E1},UT,7168.00980956116
4207,MAP,MAP,UNK,UNK,-1,{A338F606-437B-4813-95BE-18D393BCBD92},UT,2686.73945173858
4208,MAP,MAP,PLSS,PARCEL,167,{1623B1F5-A972-47A4-BD30-757D63E2310D},UT,2325.03338635964
4209,MAP,MAP,PLSS,PARCEL,167,{54265206-7899-4A1B-BECD-F586EBD29133},UT,2034.5674940712
4210,UNK,UNK,UNK,UNK,40,{F94ABA1A-D82E-40FF-ABFB-C77057EC48FA},UT,17348.9707455143
4211,MAP,MAP,PLSS,PARCEL,167,{91E283FB-D376-49F2-B45C-DB7196C12329},UT,10903.0621734887
4212,MAP,MAP,UNK,UNK,-1,{F3187AE0-0286-4295-852A-E64D86006EE0},UT,5666.12372172439
4213,UNK,UNK,UNK,UNK,40,{7BB4F5E0-BCE6-4162-A11C-5F10996A76E1},UT,6142.34633690361
4214,UNK,UNK,UNK,UNK,40,{54250228-F8C0-42B6-AD77-87FCA848376D},UT,5412.28952381846
4215,MAP,MAP,UNK,UNK,-1,{1035C28E-1273-4B44-9ACC-6A2CB66F442A},UT,2347.10462256824
4216,MAP,MAP,UNK,UNK,-1,{51CDACF9-A56F-4C06-8079-132A0C84B9C6},UT,10777.2122491589
4217,MAP,MAP,UNK,UNK,-1,{38B344C8-F2C9-490D-A98A-FC15556EE9D4},UT,2669.67816792061
4218,MAP,MAP,UNK,UNK,-1,{4404DF16-B248-4AF9-B7B5-2BA898BB4EE0},UT,1070.39396065004
