ObjectId,Source_Name,Road,From_,To_,Classification,District,Lane_Miles
460,FY 18-19,Barret Hill Rd,Cherokee Rd,Park Boundary Rd,Primary Collector,8,0.612553556
461,FY 18-19,Beard Ct,Pennsylvania Run Rd,Dead End,Local,23,0.285424619
462,FY 18-19,Beech St,Southern Ave,Wilson Ave,Local,3,0.64457233
463,FY 18-19,Beech St,Virginia Ave,Southern Ave,Local,1,1.150564125
464,FY 18-19,Beech St,Warren Ave,5th St,Pvmt Rehab,15,1.483488484
465,FY 18-19,Bent Oak Ct,Riveroaks Ln,Dead End,Local,17,0.054659708
466,FY 18-19,Billy Bone Ct,McCrea Ln,Dead End,Local,24,0.131131365
467,FY 18-19,Bimini Ct,Sunday Dr,Dead End,Local,2,0.092911765
468,FY 18-19,Black Iron Rd,Long Home Rd,Long Home Rd,Local,22,1.644335385
469,FY 18-19,Black Oak Ln,Ronnie Ave,Dead End,Local,12,0.296587339
470,FY 18-19,Blackhorse Dr,Seatonville Rd,Dead End,Local,22,0.557447872
471,FY 18-19,Blanca Ct,Phoenix Trl,Dead End,Local,7,0.149161928
472,FY 18-19,Bleemel Dr,S Watterson Trl,Cedar Hollow Dr,Local,23,0.118645322
473,FY 18-19,Blue Creek Ct,Blue Creek Dr,Dead End,Local,24,0.039147906
