ID,Zip_Code,Tenant_Age,Tenant_Gender,Tenant_Race,Hispanic_Y_N,Month_s__Covered,Verified_Monthly_Income,F__in_house__hold,Amount_Paid,Date_Paid,Council_District,ObjectId
191,40203.0,30,Female,Others,Non-Hispanic,Deposit + 2 Months Rent,0,1.0,1051.1,3/30/2022,4.0,128
477,40203.0,29,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,15000,1.0,1732.0,3/30/2022,4.0,129
473,40204.0,42,Male,Others,Hispanic,Deposit + 2 Months Rent,14628,1.0,2948.0,3/30/2022,8.0,130
179,40207.0,31,Female,White,Non-Hispanic,Deposit Only,0,1.0,925.0,3/30/2022,9.0,131
208,40216.0,27,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,0,3.0,961.0,3/24/2022,1.0,132
437,40211.0,67,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10332,1.0,636.0,3/24/2022,5.0,133
465,40212.0,54,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,13692,3.0,1502.0,3/24/2022,5.0,134
432,40211.0,62,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10092,2.0,1755.0,3/24/2022,5.0,135
568,40211.0,32,Female,White,Non-Hispanic,Deposit + 2 Months Rent,29000,2.0,3000.0,3/24/2022,1.0,136
608,40216.0,55,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,39000,1.0,1920.0,3/24/2022,3.0,137
592,40212.0,52,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,35000,1.0,3600.0,3/24/2022,5.0,138
537,40212.0,31,Female,White,Non-Hispanic,Deposit + 2 Months Rent,24000,3.0,2350.0,3/24/2022,5.0,139
423,40212.0,63,Female,White,Non-Hispanic,Deposit + 2 Months Rent,10092,1.0,2400.0,3/24/2022,5.0,140
202,40210.0,41,Male,African American,Non-Hispanic,Deposit Only,0,1.0,1596.0,3/24/2022,6.0,141
469,40203.0,53,Female,White,Non-Hispanic,Deposit + 2 Months Rent,14280,1.0,1700.0,3/24/2022,5.0,142
464,40214.0,64,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,13512,1.0,1548.0,3/24/2022,21.0,143
407,40203.0,51,Female,White,Non-Hispanic,Deposit + 2 Months Rent,9552,1.0,395.33,3/24/2022,6.0,144
478,40214.0,43,Female,White,Non-Hispanic,Deposit + 2 Months Rent,15000,2.0,2162.0,3/24/2022,21.0,145
544,40214.0,28,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,25272,1.0,2394.0,3/24/2022,21.0,146
